idx,triple,E_au,E_rel_kcal_mol,rotation,if_rotation_positive,if_triple_positive
0,1.07145993618694,-614.610891054,66.8655983238807,935.6,1.0,1.0
1,1.20902607730495,-614.488300654,143.792300227903,469.49,1.0,1.0
2,1.22257839471541,-614.707747695,6.08708753001387,337.56,1.0,1.0
3,1.20262190930014,-614.556704321,100.868315148743,309.2,1.0,1.0
4,1.18444598975688,-614.61800194,62.4034462500433,499.98,1.0,1.0
5,1.40938266295136,-614.774933391,-36.0726085669613,189.75,1.0,1.0
6,1.12089305954094,-614.837439687,-75.295934369945,388.13,1.0,1.0
7,1.21019559871441,-614.595368166,76.6063657728095,699.19,1.0,1.0
8,1.09593772101631,-614.457797732,162.933188812112,1419.02,1.0,1.0
9,1.03843625869675,-614.476424284,151.244841166592,1296.7,1.0,1.0
10,1.35468444859679,-614.801543931,-52.7709885223479,408.14,1.0,1.0
11,1.1827009729368,-614.588947983,80.6350948070968,421.24,1.0,1.0
12,1.04113201757976,-614.514351286,127.445268141605,947.23,1.0,1.0
13,1.10008818905152,-614.716512395,0.587150632995783,670.46,1.0,1.0
14,1.12146194335682,-614.834429905,-73.4072660670941,473.45,1.0,1.0
15,1.28919767640652,-614.607059686,69.2698200576098,629.71,1.0,1.0
16,1.16827853862012,-614.545191942,108.092448095039,409.37,1.0,1.0
17,1.11462017998449,-614.542199331,109.970341423629,534.25,1.0,1.0
18,1.0274094953288,-614.816747071,-62.3111109037728,212.59,1.0,1.0
19,1.2240330686218,-614.798741721,-51.0125737253022,400.39,1.0,1.0
20,1.13485594349694,-614.56454331,95.9492711613576,1074.51,1.0,1.0
21,1.10568573709932,-614.854098961,-85.7497953976528,539.02,1.0,1.0
22,1.18734758453961,-614.568487595,93.4741928810147,-43.94,-1.0,1.0
23,1.23268955203269,-614.953466766,-148.10408671323,199.97,1.0,1.0
24,1.28903752373653,-614.665592517,32.5398832767414,404.02,1.0,1.0
25,1.23823457883811,-614.693588954,14.9718390948989,473.99,1.0,1.0
26,1.05473675443379,-614.426914844,182.312509861033,613.73,1.0,1.0
27,1.20213629184975,-614.832775833,-72.3693193464047,349.26,1.0,1.0
28,1.18335374481512,-614.850348136,-83.3961152019044,209.51,1.0,1.0
29,1.2509175785414,-614.569092103,93.0948580659111,467.52,1.0,1.0
30,1.11008853101742,-614.729774695,-7.7350752399736,743.15,1.0,1.0
31,1.22307028162283,-614.83424497,-73.2912175052485,459.25,1.0,1.0
32,1.27597601639427,-614.900477501,-114.852793033039,71,1.0,1.0
33,1.06175444763351,-614.709742196,4.8355182074958,1134.89,1.0,1.0
34,1.2718214915999,-614.771319114,-33.8046136066932,489.8,1.0,1.0
35,1.4641063155632,-614.905229882,-117.834959634351,201.73,1.0,1.0
36,1.07235740482181,-614.71564142,1.13369615524453,510.39,1.0,1.0
37,1.17704739399933,-614.845220311,-80.1783537361975,594.8,1.0,1.0
38,1.1292103115411,-614.890593166,-108.650273977236,402.4,1.0,1.0
39,1.27120025471232,-614.832911871,-72.4546845517451,179.59,1.0,1.0
40,1.15452117494938,-614.74130646,-14.9713730951776,804.77,1.0,1.0
41,1.24507702158023,-614.847301993,-81.4846300079707,386.17,1.0,1.0
42,1.07632738524865,-614.790289144,-45.7084971319877,895.51,1.0,1.0
43,1.10821350470713,-614.56661841,94.6471251603136,756.7,1.0,1.0
44,1.15546598764012,-614.606690705,69.5013593248894,811.77,1.0,1.0
45,1.06395448583489,-614.758010075,-25.453058543817,598.88,1.0,1.0
46,1.23069626397995,-614.732348079,-9.34989943382347,423.65,1.0,1.0
47,1.14820442012258,-614.480146252,148.909269026889,1013.26,1.0,1.0
48,0.878038407780911,-614.463412029,159.410161301664,1404.74,1.0,1.0
49,1.19407075946408,-614.690930105,16.6402934308885,890.33,1.0,1.0
50,1.16901660133391,-614.771162902,-33.7065890145864,548.03,1.0,1.0
51,1.22119356601968,-614.843370413,-79.0175242421887,464.63,1.0,1.0
52,1.31106946295486,-614.775250206,-36.2714131476233,116.71,1.0,1.0
53,1.06769203441029,-614.578195144,87.3826088079992,626.16,1.0,1.0
54,1.14935030230755,-614.664869414,32.9936376402972,678.11,1.0,1.0
55,1.09262522852729,-614.58086053,85.7100524391457,654.37,1.0,1.0
56,1.09471790698942,-614.428168583,181.525776101112,961.11,1.0,1.0
57,1.32986101957201,-614.71343871,2.51591870734825,571.84,1.0,1.0
58,1.23627711809534,-614.864662074,-92.378254436276,456.76,1.0,1.0
59,1.17101373286979,-614.767661838,-31.5096363439252,907.04,1.0,1.0
60,0.974870879820091,-614.695120773,14.0106073542221,743.49,1.0,1.0
61,1.23193506940648,-614.783872226,-41.6818169177992,256.79,1.0,1.0
62,1.16005141612184,-614.765604627,-30.2187158693373,417.33,1.0,1.0
63,1.31961673541313,-614.810672427,-58.4992110473184,348.45,1.0,1.0
64,1.04581446109078,-614.751509514,-21.373891510674,696.98,1.0,1.0
65,1.28158191579115,-614.819347713,-63.9430397651599,134.93,1.0,1.0
66,1.29192193279699,-614.920103118,-127.168063956764,245.16,1.0,1.0
67,1.10249491419882,-614.764826805,-29.7306247860973,630.99,1.0,1.0
68,1.25030968847808,-614.76208321,-28.0089914876662,229.94,1.0,1.0
69,0.951422361142124,-614.84168139,-77.9576454194337,523.27,1.0,1.0
70,1.09046261941786,-614.630778358,54.3861161908356,567.24,1.0,1.0
71,1.13322273829802,-614.550261248,104.911407886982,554.37,1.0,1.0
72,1.14627592547534,-614.652848929,40.5366121826432,1029.99,1.0,1.0
73,1.39677328690066,-614.784650223,-42.1700178152693,-126.35,-1.0,1.0
74,1.08541212448602,-614.782390787,-40.7521991309611,585.9,1.0,1.0
75,1.01778223985704,-614.825924624,-68.0701171867854,558.87,1.0,1.0
76,1.36503626741093,-614.939682614,-139.454393491728,323.2,1.0,1.0
77,1.17647713681334,-614.811958959,-59.306522742635,562.14,1.0,1.0
78,1.34287430117616,-614.906912853,-118.891040766584,217.76,1.0,1.0
79,1.06470970380074,-614.288375339,269.247434643536,1005.98,1.0,1.0
80,1.1019981740112,-614.681117871,22.7975683882519,589.17,1.0,1.0
81,1.005320560748,-614.658092947,37.2459384474727,651.65,1.0,1.0
82,1.40531272161056,-614.978884154,-164.05375185707,328.67,1.0,1.0
83,1.02528425509242,-614.68411432,20.9172666762122,103.37,1.0,1.0
84,1.13244252777507,-614.700905231,10.3808021146461,576.81,1.0,1.0
85,1.14691024116148,-614.908357076,-119.797305141327,440.3,1.0,1.0
86,0.926442173739211,-614.741060777,-14.8172045558459,599.92,1.0,1.0
87,1.38665420204178,-614.839172674,-76.3834010422952,430.49,1.0,1.0
88,1.16891291409435,-614.639224364,49.0861629657847,580.43,1.0,1.0
89,1.24230755871394,-614.968476973,-157.523141707757,185.16,1.0,1.0
90,1.15422155987058,-614.760697104,-27.1391961115806,622.5,1.0,1.0
91,1.36503512215253,-614.879789685,-101.870981614902,423.77,1.0,1.0
92,1.05319498299321,-614.424726496,183.685720114515,944.57,1.0,1.0
93,1.14227693845014,-614.636323332,50.9065895561473,757.49,1.0,1.0
94,1.25718562576062,-614.755059503,-23.6015451080772,239.16,1.0,1.0
95,1.11025194701418,-614.559099026,99.3656138141749,482.87,1.0,1.0
96,1.11428594360549,-614.597811448,75.0731818849528,380.86,1.0,1.0
97,1.28842414728332,-614.578247442,87.3497912900103,230.61,1.0,1.0
98,1.33390513372538,-614.864191059,-92.0826878136157,493.95,1.0,1.0
99,1.21703103488057,-614.7987527,-51.0194631575715,361.07,1.0,1.0
100,1.11235555456088,-614.656151006,38.4645258444084,980.86,1.0,1.0
101,1.19751402562881,-614.714955716,1.56398227230592,527.49,1.0,1.0
102,1.2917762306408,-614.694709923,14.2684198377097,4.33,1.0,1.0
103,1.17196227273371,-614.476227874,151.368090405728,529.49,1.0,1.0
104,1.26354289225815,-614.589492971,80.2931093872159,235.72,1.0,1.0
105,1.22257373850032,-614.873178859,-97.7226221916156,298.24,1.0,1.0
106,1.21303600809698,-614.811018405,-58.7163157021242,273.57,1.0,1.0
107,1.3266772723039,-614.791909133,-46.725056429381,248.52,1.0,1.0
108,1.09810249878173,-614.781048294,-39.909771348507,549.85,1.0,1.0
109,1.15232329249308,-614.781800255,-40.3816343956119,-175.93,-1.0,1.0
110,1.22265816950064,-614.624157061,58.5410462713294,261.93,1.0,1.0
111,0.966545557649817,-614.48411608,146.418162258621,1694.11,1.0,1.0
112,0.99787211548854,-614.474525443,152.436382882546,1610.99,1.0,1.0
113,1.23842392270859,-614.591479791,79.0463599690432,543.09,1.0,1.0
114,1.19363641180053,-614.805870876,-55.4861897792995,448.37,1.0,1.0
115,1.38116090405592,-614.853196597,-85.1835529640051,104.09,1.0,1.0
116,1.13586407631437,-614.782049575,-40.5380851887907,648.87,1.0,1.0
117,1.13286814019901,-614.83847755,-75.947203781053,469.4,1.0,1.0
118,1.21242863753001,-614.707924091,5.97639727603571,704.83,1.0,1.0
119,1.28652831955853,-614.948311714,-144.869240032732,209.64,1.0,1.0
120,1.14299653565425,-614.617705094,62.589720083484,585.65,1.0,1.0
121,1.14011133036989,-614.738333771,-13.1059810207944,481.02,1.0,1.0
122,1.18342376196591,-614.798414245,-50.8070792605095,496.15,1.0,1.0
123,1.10675090579367,-614.602772367,71.9601556033084,848.7,1.0,1.0
124,1.23123939187671,-614.650250372,42.1672326857482,617.93,1.0,1.0
125,1.32931817304732,-614.92074514,-127.570939181962,278.61,1.0,1.0
126,1.16678779691421,-614.813780473,-60.4495409927569,-32.9,-1.0,1.0
127,1.15962137772246,-614.743344189,-16.250068419964,595.19,1.0,1.0
128,1.02845624015649,-614.808942419,-57.4136137272501,518.85,1.0,1.0
129,1.22647243253996,-614.842062794,-78.1969802434707,331.64,1.0,1.0
130,1.30165466745275,-614.788230556,-44.4167125761363,376.47,1.0,1.0
131,1.23452000789217,-614.51475285,127.19328271592,531.82,1.0,1.0
132,1.28761264326432,-614.79104821,-46.1848186376481,777.26,1.0,1.0
133,1.0080326629844,-614.633293094,52.8080942034967,997.78,1.0,1.0
134,1.1288964281448,-614.685802813,19.8577204338069,490.85,1.0,1.0
135,1.08190668048673,-614.768270615,-31.8916499992109,480.83,1.0,1.0
136,1.20647686290992,-614.67707066,25.337233762826,690.08,1.0,1.0
137,1.15833003847032,-614.615754898,63.813487575477,592,1.0,1.0
138,0.98348325717368,-614.687784439,18.614230302563,859.99,1.0,1.0
139,1.21019518246173,-614.830230571,-70.772141988777,-14.92,-1.0,1.0
140,0.949062986207754,-614.710916824,4.09842739117943,1359.62,1.0,1.0
141,1.41708671725974,-615.028338309,-195.086728661142,128.17,1.0,1.0
142,1.16895769335878,-614.651079227,41.6471178846926,482.69,1.0,1.0
143,1.30867318711937,-614.595376333,76.6012408986189,231.37,1.0,1.0
144,1.27593500918731,-614.604331414,70.981838020338,497.25,1.0,1.0
145,1.19571517123382,-614.721173539,-2.33776383845087,537.27,1.0,1.0
146,1.23383926220265,-614.936490624,-137.451387846825,378.43,1.0,1.0
147,1.12429711684644,-614.697291967,12.6481614073007,633.65,1.0,1.0
148,1.26840066107094,-614.899055249,-113.96031568052,254.52,1.0,1.0
149,1.13414274407389,-614.67588018,26.0842718676204,587.8,1.0,1.0
150,1.23021371068191,-614.748174392,-19.2810691044834,413.85,1.0,1.0
151,1.08403061449383,-614.585363964,82.8841025698324,518.4,1.0,1.0
152,1.11231266496577,-614.428770384,181.148139955592,908.64,1.0,1.0
153,1.02111415999379,-614.687369778,18.8744342266957,571.78,1.0,1.0
154,1.2522228417956,-614.786083368,-43.0693306342684,584.8,1.0,1.0
155,1.37593455276477,-614.840061244,-76.9409876030135,186.89,1.0,1.0
156,1.19880199657665,-614.764975495,-29.823929248035,451.09,1.0,1.0
157,1.04864729984964,-614.628271621,55.959118725762,854.69,1.0,1.0
158,1.03072007090733,-614.277492875,276.076289628188,1158.01,1.0,1.0
159,1.04091234664726,-614.460974592,160.93967739355,833.17,1.0,1.0
160,1.4280998736922,-614.67742959,25.1120015985589,33.3,1.0,1.0
161,1.25365792170128,-614.801100578,-52.4927800813661,183.69,1.0,1.0
162,1.29287753079438,-614.980696554,-165.191050981109,175.06,1.0,1.0
163,1.35183850674489,-614.735677826,-11.439348973835,437.53,1.0,1.0
164,1.24192543045885,-614.739052922,-13.5572554648034,502.18,1.0,1.0
165,1.24774471367842,-614.90500189,-117.691892374454,521.59,1.0,1.0
166,1.16737229238095,-614.811654287,-59.1153380159337,710.91,1.0,1.0
167,1.01026857376927,-614.509589949,130.433054722469,955.36,1.0,1.0
168,1.02713939524927,-614.525966677,120.156494135146,1208.95,1.0,1.0
169,1.25874125144712,-614.810918992,-58.6539330504669,329.26,1.0,1.0
