refcode,gap
AACANI11,2.3525
ABATUT,2.4675
ADEQUY,2.7109
AENNIN,3.7889
AETSFE,2.0707
AFOMEQ,2.9467
AFOSUM,4.0499
AGAVAI,2.5969
AGLCMN,3.8044
AGOZUR,3.4287
AGUDUE,2.5127
AGXICO,2.3206
AHABER,2.5633
AHABIV,2.8909
AHEZAO,2.0861
AHIGOO,3.0023
AHUCUE,2.1102
AHUGOA,2.6904
AJAFEX,3.6546
AJALIH,2.5082
ALEQEO,3.4666
ALIYOJ,1.6887
ALOTOL,3.5891
AQIYII,3.4526
AREJUD,3.1834
ASENIA,2.5788
AWOLOO,1.7567
AYOYES,2.8111
BACNOK,2.8229
BADHIZ,3.1049
BAJJEB,2.5857
BAWLAN,1.5684
BAYDEL,2.6014
BEMWUM,5.283
BEPRET,2.0781
BIBDOG,2.3465
BITTAC,2.8338
BOMVEF,3.3015
BOQPIH,3.4121
BORFET,3.3064
BUBHEM,3.764
BURMIL,5.0452
CADHOE,3.5237
CAGCIW,1.6482
CAJFEZ,2.3858
CEBZIS,2.4514
CEHHON,6.012
CETFAI,2.798
CETXAA,1.981
CIDVOA,1.6528
CIHJEJ,2.9421
CIXXAJ,2.4933
CMNMVK,4.0678
CMPHSC,3.5585
CNITSC,2.7809
CODWAU,3.0777
COJHAN,2.2841
COPCAM,2.6326
CORSIO,1.807
CUHGUK,2.1996
CURVOB,2.7187
DAKNEI,3.3158
DAMYUL,2.5811
DAQXEY,2.0594
DAXPEY,4.4901
DEKFEH,3.3719
DESSAW,2.6464
DEXFAN,2.8894
DEXFOB,1.762
DIJJIR,3.2417
DIRPOJ,2.1929
DITLAW,2.895
DIXXEP,2.8853
DOQRAC,3.8898
DOQWUC,2.5599
DOVYES,3.2325
DUBPIA,2.654
DUCGUD,3.2238
DUFLEW,1.8319
DUYZII,2.3
EBOTIY,3.2596
ECOXAW,1.3394
EDAMEE,2.7233
EDEZEU,2.478
EDIDED,2.6858
EHEXOE,2.5482
ELAKOR,3.06
ELUJUQ,1.7421
EMEDEH,3.1512
ENDACR,5.2114
EQACEF,2.3276
EQIVOP,2.862
EVILOM,2.3274
EWOBUP02,2.3221
EXOVIX,3.3989
FAPSAT,2.6043
FAVZUY,3.3971
FAYHOF,2.6417
FAZPEE,2.6136
FERBEK,2.1621
FESXOQ,1.8787
FILSEY,2.393
FIYMOP,3.9946
FIZQIP,2.4736
FONPUT,3.0565
FOPJEB,4.3319
FOSVIS,3.3926
FOTSIR,2.2787
FOXGAB,2.0532
FUMKIH,2.5542
FURROZ,5.0623
GAGVUG,2.8437
GAHJEG,3.956
GAMZEA,2.6443
GEFTIV,2.6221
GEGBUQ,2.583
GENYOP,2.6888
GEQZUY,3.4645
GEWNAX,3.6711
GICZIB,2.5038
GIDKAH,2.8326
GILZIK,2.2245
GINSUS,3.0065
GISVAF,1.3442
GOCDEH,3.0774
GOJVAC,3.7971
GOJZIP,2.4299
GOKREF,3.3734
GOQZIX,1.7047
GORWIT,3.1962
GOXBAW,2.0425
GOXXEW,2.4452
GUCBAJ,1.9694
GULWUH,2.8775
GUQYOH,1.8636
GUTXOL,2.3097
GUVZIH,2.8283
GUWWAW,2.4093
HAHXOE,1.6302
HALBEB,2.3127
HATNOG,4.8172
HAXXOU,1.4522
HECVER,2.2828
HEQZEI,2.6367
HERGUG,3.4368
HERHAN,3.0853
HEYMIH,3.6502
HIGVAV,2.3848
HIKNEV,3.0245
HIKNIZ,3.093
HIMKOE,2.5424
HIPLIC,2.8936
HITHOI,1.9681
