refcode,gap
ABATED,3.1458
ABEDAN,2.9101
AFOSUM,4.0499
AGOZUR,3.4287
AGUBAF,4.103
AJAFEX,3.6546
AJALED,2.6172
AJALIH,2.5082
AJIMOV,3.8471
APOHUK,1.9539
ARIMUJ,2.9555
ASUTUD,2.9015
ATOCOC,2.5489
AVOKAX,3.2188
AYOYES,2.8111
BABPAX,3.0782
BAHDAS,3.6659
BAJWOZ,2.5877
BAZSUR,2.8469
BEJDUS,2.0986
BEKGAB,2.9686
BEKGOP,2.9302
BEKZIA,1.8911
BEXJEW,1.1501
BEZLOH,3.3828
BGUCRM,3.5591
BIBDOG,2.3465
BIBFEY,1.4869
BIXWOX,2.6436
BIZQOQ,2.4043
BOFGOS,3.5211
BOKZEH,2.0157
BOMVEF,3.3015
BRURMN,3.6691
BUJPIH,1.8586
BUTDAV,4.332
BUXJEJ,2.7816
BUXYIE,1.4996
CAGSOV,3.0746
CAHQAD,3.4054
CAHQEH,3.1226
CASXAY,3.7182
CAZVAA,2.9459
CAZZUY,2.6671
CEDXIT,4.0249
CEHHON,6.012
CETFAI,2.798
CETJIU,2.594
CEXJEW,2.5482
CIDVOA,1.6528
CIMBUV,4.6207
CIMGOU,4.5745
CODLEO,2.4661
COKLOD,3.7884
COLNEW,2.5733
COPCAM,2.6326
CORSUA,1.7071
COSCIZ,2.5741
CTHUCO10,2.7187
CUCWEE,1.1839
CUQSEN,2.5129
CUVZIE,3.1053
CUXREV,2.7275
DAGFAT,1.9099
DAJVIT,3.2164
DAPQOD,1.767
DAXPOI,2.8022
DEKFAD,3.3288
DELPOZ01,2.0151
DEXZAK,1.9919
DIBHIF,4.0111
DIGJEJ,3.5443
DIGNUD,2.4798
DIMDAH,2.7269
DIMPEU11,3.7936
DITLAW,2.895
DOFVIG,3.731
DOHXED,2.4212
DOJCOX,2.5531
DOVKUV,2.4289
DOZQIV,2.7252
DUDTUS,3.4014
DUQQAJ,1.2527
DUTMIO10,3.3648
DUWWEY,3.074
EACMCO,3.0655
EBIXAQ,0.9618
EBOTEU,2.9437
EBOTIY,3.2596
ECBIMA10,3.799
ECEWAL,1.9655
EDECEX,1.72
EDUPOL,4.0686
EGAMUX,2.7111
EGUZUB,3.9502
EHEXOE,2.5482
EHIWIC,4.1173
EJOJOC,2.5489
ELUJUQ,1.7421
ELUSUB,2.2357
ELUXIU,3.5101
EQACEF,2.3276
EQEFAI,2.5141
EQEQAV,2.286
EQIVIJ,2.8177
EVOJEE,4.1617
EXOCEA,3.0189
FAHFUQ,3.6656
FAJMAF,3.3984
FANFAD,2.8358
FARZIH,3.5715
FASSEX,4.5939
FAYHOF,2.6417
FAZPEE,2.6136
FAZTIK,2.9962
FEHKUZ,3.3647
FERWEH,1.3984
FEVFET,1.7319
FIHFIO,2.1941
FOCSOF,3.0521
FONPUT,3.0565
FOPJEB,4.3319
FOSVIS,3.3926
FOTZET,4.3372
FOXGAB,2.0532
FUNHUS,2.4318
FURROZ,5.0623
FUYYAB,3.1773
GADMOR,2.8588
GADTIS,1.9921
GAGVUG,2.8437
GEFTIV,2.6221
GELBII,3.8057
GEMZON,4.3407
GENBUW,3.1663
GEPBEJ,1.6665
GEPVEF,2.144
GINSUS,3.0065
GISLUQ,4.4617
GIXYIV,3.4892
GIYGUT,2.7446
GOCDEH,3.0774
GUGYIS,1.0477
GUTXOL,2.3097
HAWSEF,2.8044
HEYMIH,3.6502
HIGVAV,2.3848
HIKNEV,3.0245
HINTUU,3.4046
HIPLEY,2.8993
HIVDAS,3.3095
HOHBUB,2.2581
HOMKUP,2.5968
HONZOZ,2.5337
HONZUF,2.4976
HOPCEU,2.7794
HOTRIS,2.5108
HOTXIX,2.745
HOXMOX,2.1691
HUDGOC,3.5372
HUMBEX,2.3544
HURSOD,3.217
HUXWAZ,2.5586
HUXWED,2.4646
ICATIS,1.1089
IFIXON,3.1471
IFOPAU,2.2499
IFUFIY,3.4987
IGIMIU,3.5226
IHUDUL,3.6919
IJOREG,2.3962
ILONUV,2.7069
IMUCAX,2.8916
IMUDOK,2.2147
INEDEM,2.7118
INUVUL,2.6011
INUXEV,2.5653
IPIBUE,3.219
IPOFUR,3.0029
ITERIJ,1.9062
IVUTEY,1.8141
IWORIX,2.1769
IXAROP,2.5297
JAXFIX,3.4587
JAYNAB,3.6165
JEPPOM,2.6347
JEQNOJ,2.8255
JEWNEF,2.3294
JIHPAR,2.1101
JIKPAX,2.0592
JIVFID,2.4819
JIWMIL,2.2571
JIWRIQ,2.8129
JIYYIA,2.2558
JODNEV,3.5755
JOTNIS,2.0267
JUGHAU,2.1953
JUNGEH,3.1466
KAGXID,1.5709
KAJTOE,2.8955
KAWCIU,1.4825
KAWFET,4.1184
KAXMEB,1.271
KEFYAV,4.5477
KEHJAK,2.7905
KEHREV,2.852
KELXUU,2.1676
KEVHIC,1.8429
KIBBED,2.9938
KIJSUR,3.654
KIJXAC01,2.6149
KIPLIH,3.1228
KISKED,3.5094
KOCNUM,3.1072
KOCXEG,1.64
KOTBAW,3.1284
KULMIQ,2.335
KUWWAC,1.3975
LALPET,2.1002
LAPNIZ,2.7967
LAYNEF,3.0752
LEDQUH,2.8136
LELLAQ,2.4123
LEPSEF,1.3819
LEXQAG,3.8716
LEZQUC,3.9916
LIJBUB,1.8872
LILLEZ,2.4862
LINSOR,3.3423
LIXMOX,2.0953
LIYMAH,3.546
LODFAL,3.9857
LOJLEE,3.7776
LONRUC,3.4098
LOXWUQ,1.9111
LOZXOQ,2.8365
LUGPAE,2.5729
LUHHAA,2.1551
LUJPAI,1.6252
LUJROX,3.3104
LULDOM,2.9993
LUNGOS,2.3265
MACRCC,4.2093
MACZEW,3.5791
MAENCO,3.201
MAJCAC,2.2935
MAKPOD,3.2201
MALNET,2.7235
MARJIZ,1.2955
MATFUL,1.5323
MEHKOA,2.3634
MEHNOC,3.3668
MEJZAF,2.4484
MENWUY,2.1956
MERECO,2.6966
MHPCOB01,4.0951
MIVGUV,2.7866
MOFMAV,2.5944
MONZEU,2.5701
MORDOM,2.931
MOZRIC,1.8825
MUGYEU,2.0088
MUQQOE,2.0524
NABDEZ,2.2961
NABFOL,2.3956
NAYMUY,4.3309
NEDGIM,2.0852
NEZBIG,2.0481
NEZPEQ,2.5309
NIDMOE,2.4064
NIDTHC11,2.7788
NISBEW,3.7401
NOGWIQ,3.3393
NONTIW,3.222
NOSHEI,2.6925
NTMTUC,3.2005
NUPTAT,2.4868
NURPUN,3.2728
NUSMIY,1.8088
NUTHIU,2.405
OGEVUS,2.4621
OGUBOH,2.414
OMUHAG,3.5906
OPAKUM,2.0994
ORESUC,3.0939
OTOTEX,2.4838
PANGER,3.0816
PAXVAM,2.0747
PAZDUQ,4.0069
PEKPAW,3.6407
PEQMEE,2.5252
PERJIG,3.4803
PINBUJ,2.625
PITBUP,3.4495
PMCCOC,3.4806
POPFEC10,3.7143
PUDPAG,2.4696
PUGLOS,2.4416
PUHWUL,1.8784
PUKPUG,3.2327
PUMQAQ,3.3244
PUVLAV,1.5718
QABMIP,2.4474
QADJEK,2.9733
QAFCOS,2.8098
QAGCEG,2.9725
QAQBIV,4.257
QAQBOB,4.5156
QASCUI,1.9587
QAVFID,1.2886
QAWZET,3.3079
QAZCIF,2.2463
QEHKUL,2.7474
QEHZIN,2.3987
QETKOS,2.989
QETVAM,1.2214
QIGRED,4.8265
QIJTAE,2.0627
QITBEA,2.4076
QIVYEZ,2.3289
QIWCUU,2.1694
QIZCAF,1.2144
QOKYIY,3.0598
QOLZOH,3.4034
QOMQOZ,1.5841
QOPWOK,2.6777
QOQKIQ,4.6566
QORDUY,1.9784
QORFAG,2.3258
QOXZEK,2.0993
QOYFEQ,2.3855
RABJOX,3.9076
RABLAL,2.9282
RABVOG,3.0757
RATCAR,2.1516
REMMEB,3.0765
RERCUP,3.4384
REXQAN,3.7789
RIMDIA,4.098
RIPQAL,2.848
RIQSAM,3.4979
RIWXEA,2.6803
RONREU,2.8952
RUHGUW,3.3721
RUHRIV,3.2819
RUJSOE,2.8803
RULVEA,2.1674
RUWKEA,2.7314
RUWSAG,3.2677
SAFTEZ,2.1059
SAFTID,2.4507
SAGCAF,2.4459
SAGFUB,2.8319
SAHHAN,2.4536
SAHZIK,2.7101
SAKWOS,2.8207
SAYMIO,2.0527
SAYZAV,0.8896
SEDHOZ,2.4508
SEPHOL,3.5659
SILYOC,3.4116
SIQNAK,2.6063
SIQNEO,2.6235
SISNAK,3.4672
SIYHOA,3.0651
SOHKEG,1.8649
SOSVAX,2.2455
SOZYEL,2.7276
SUJVAW,2.7578
SUPKIY,2.1112
TACSAU,2.5809
TADSUQ,3.9468
TAGZUA,1.6018
TANLEA,1.7815
TANLOK,1.8496
TAPGUM,2.9126
TAPZUI,2.7374
TAVHOO,2.1309
TAVWAP,3.1307
TEBVIH,4.179
TEHYOV,2.2953
TEQQAH,3.262
TEVXIC,3.5335
THOCCR,3.8431
TIGBIV,2.3932
TIGGEW,4.245
TILSUD,2.5079
TOKRAN,4.0279
TOLBEB,2.2426
TOPJEO,2.2714
TOWFAM,3.5525
TUDGII,3.432
TUKGUB,2.0779
UBEXOQ,2.3758
UBOMEG,2.4839
UDURUJ,3.5401
UFOYOF,3.0882
UHEPED,2.8316
UHOXOE,2.9364
UJUSOI,2.3282
UMIPIP,3.6055
UNEHIG,2.136
UNEREL,3.8452
UNOFEJ,3.2203
UNOJIR,2.8827
UNONOB,1.9879
URUKIC,4.1839
UTEMIR,3.1882
UWUYER,2.3431
UZEXON,2.6633
VABKUE,2.9527
VAHGOC,2.96
VAQFAU,1.4503
VAYWEY,4.6977
VEDXOS,2.8574
VEYTAX,2.9969
VIBRIK,2.8676
VOCBAQ,2.3514
VOPPEV,1.8811
VOVDIT,1.9833
VOYJEY,4.3363
VUDDON,2.3609
VUMSUT,2.5667
VUTTAH,2.285
WABGOW,0.7295
WABZAC,2.2707
WALJOL,4.1789
WEHWAI,2.3682
WELREL,2.0978
WEMNIM,3.6452
WERHUZ,1.5665
WEXYIH,1.2875
WISHUE,1.8867
WITBEJ,1.9317
WIVQOI,2.4217
WOBXER,1.9626
WOFREP,2.9609
WOGMEL,4.0242
WOJLUC,2.209
WOKCEE,1.1318
WOKYOL,1.7698
WOWTOR,3.6419
WUGCAD,2.5975
WULSEB,2.3855
WULSIF,2.6076
WUTDAQ,2.9973
XADCOV,2.7222
XADMAR,3.8721
XAHLEY,2.7032
XAKHOI,2.7039
XAKPUU,5.0053
XEMSAK,2.6027
XEZTEE,3.2479
XEZWOQ,2.7482
XEZZUX,2.2544
XIBBAL,2.3653
XIHVIT,4.6748
XILJEH,2.1298
XITQIB,3.1714
XIXTII,2.1634
XIYMEY,3.4346
XOTGOC,2.3134
XOZXIV,2.2856
XUBMUF,3.7619
XUJXOP,3.1625
XULXAG,2.8451
XUNTAB,2.2773
XUPRAB,2.7375
XUPREF,1.9236
XUYWAQ,1.5165
YAJLAW,2.2628
YAPGUS,2.7758
YATQER,2.1111
YEHDUM,2.1092
YEJJIG,1.61
YEQZID,2.5081
YETYOM,1.7059
YEXVEE,4.1146
YIBHUM,3.3142
YILLAH,2.0539
YISQAT,2.4878
YITRUO,2.0969
YITVON,2.1596
YIZZIR,1.7057
YOLDAG,2.7598
YUMGOF,2.1845
YURDIY,2.686
ZATWOI,2.8067
ZAZNUJ,1.7556
ZEBCEQ,2.6141
ZEDSOT,3.1602
ZELWAO,3.9083
ZEYWAD,1.3877
ZILSEU,3.0192
ZILZUP,1.6504
ZIMPUG,1.989
ZOBQIQ,2.7534
ZOWPAF,2.6377
ZOYCUL,3.7707
ZOZPAF,2.4804
