refcode,HOMO,LUMO,gap,dipole_moment_Debye,splitting,hirshfeld,N_FOD
AACANI11,-4.9865,-2.634,2.3525,12.2721,-11.63,0.185111,0.448779
ABAJIX,-11.7195,-8.5144,3.2051,2.74325,15.57,0.100697,0.495257
ABATED,-4.0879,-0.9421,3.1458,0.93595,-17.55,0.036665,0.824691
ABATUT,-4.805,-2.3375,2.4675,1.39135,25.81,0.048443,1.233073
ABEDAN,-11.3693,-8.4592,2.9101,10.25912,-31.41,0.025579,0.47186
ABOTNI,-4.6112,-2.4605,2.1507,1.00E-05,-17.81,0.096442,1.252563
ACEGOH,-6.5123,-4.3865,2.1258,12.10396,-41.92,0.295628,1.01312
ACEYOW,-11.0312,-8.6888,2.3424,1.00E-05,-16.04,0.334763,1.123977
ACNCOB20,-7.3765,-4.0193,3.3572,7.24299,38.64,-0.127751,0.618854
ACODUR,-6.5235,-2.1474,4.3761,7.44063,106.09,0.057144,0.237556
ADEQUY,-4.4726,-1.7617,2.7109,3.73732,-13.2,0.269936,0.596021
ADERAF,-4.111,-1.3519,2.7591,0.07105,-17.75,0.209665,0.617252
ADIGEB,-4.773,-3.3661,1.4069,23.14373,-45.98,0.348487,1.909328
AENNIN,-14.067,-10.2781,3.7889,2.18552,-37.94,0.258251,0.122218
AETSFE,-7.8997,-5.829,2.0707,7.59193,49.29,0.081766,1.34774
AFAVIO,-4.5788,-0.9441,3.6347,0,-42.1,0.098807,0.372074
AFOMEQ,-5.1451,-2.1984,2.9467,6.18392,-35.94,0.351813,0.584528
AFOSUM,-4.5649,-0.515,4.0499,8.63412,-64.17,0.247065,0.284159
AFUDAH,-4.6118,-2.3796,2.2322,2.40914,16.19,0.025392,0.870531
AGAMIH,-9.151,-5.5802,3.5708,8.04798,-41.88,0.164436,0.473894
AGAVAI,-4.7743,-2.1774,2.5969,1.48705,45.76,-0.091368,0.878475
AGEZIW,-8.0007,-5.5949,2.4058,8.0554,55.98,0.006565,1.034046
AGIDEC,0.1566,3.9281,3.7715,1.83165,-28.72,0.234636,0.247913
AGLCMN,-5.235,-1.4306,3.8044,11.36008,-47.11,0.316138,0.294381
AGODAC,-4.1639,-0.7893,3.3746,5.03567,93.29,-0.130299,0.492653
AGOZUR,-6.4734,-3.0447,3.4287,0,-50.34,0.227545,0.289643
AGUBAF,-5.9478,-1.8448,4.103,0,-46.05,0.342749,0.244199
AGUDUE,-8.0658,-5.5531,2.5127,4.21554,26.38,0.236759,0.982002
AGXICO,-4.8039,-2.4833,2.3206,0.00033,50.84,0.203538,1.249769
AHABER,-5.3364,-2.7731,2.5633,9.41166,-27.85,0.076537,0.735129
