refcode,gap
ABEDAN,2.9101
ADEQUY,2.7109
AENNIN,3.7889
AFOMEQ,2.9467
AGAMIH,3.5708
AGAVAI,2.5969
AHABER,2.5633
AHIGOO,3.0023
AHUCUE,2.1102
ALILOX,2.2306
APUDUM,2.3346
AQIYAA,3.786
AQSUMN,1.0442
AQUGIF,2.7079
ARIMUJ,2.9555
ASATEW,2.1477
ATOFAS,1.141
ATOMOM,1.993
AXISIJ,1.6867
AXITAC,2.647
AYAGIQ,2.3943
AZUMAJ,2.3074
BABCAK,2.21
BABQIE,3.7946
BABTED,3.6735
BACNOK,2.8229
BADHIZ,3.1049
BAHDAS,3.6659
BAJWAL,1.7965
BAJWEP,1.7316
BAJWOZ,2.5877
BAMBAV,4.3069
BAPKEI,3.5564
BEPTIA,2.0603
BEQYOM,2.977
BESBEI,1.3261
BIBFEY,1.4869
BIJJAG,2.5458
BINCOR,2.5868
BISXIK,2.7502
BIZQOQ,2.4043
BODQES,4.6838
BOFFOS,2.6053
BOMVEF,3.3015
BONGEQ,2.8941
BOTQEH,3.4597
BOXMIK,1.462
BOZJEH,3.5804
BUBHEM,3.764
BUBLEQ,2.7506
BUDHEN,1.8148
CADHOE,3.5237
CADYEM,5.3515
CAHCOP,3.0449
CAHQAD,3.4054
CAJFAV,2.1403
CAZVAA,2.9459
CEBZIS,2.4514
CECKEB,2.1856
CETXAA,1.981
CEXJEW,2.5482
CIMBUV,4.6207
CIMGOU,4.5745
CIRDEN,3.5753
CIXXAJ,2.4933
CIZLAY,2.4758
CMPHSC,3.5585
CMPYCR,3.4774
COJGUG,2.2217
COPCAM,2.6326
COPKAU,3.4774
CUCWEE,1.1839
CUHGUH,2.345
CURVOB,2.7187
CUVGOP01,1.9074
CUXREV,2.7275
CUZWUR,1.4697
DABSOP,2.2647
DADJEX,2.343
DAJVIT,3.2164
DAPSCR10,2.7167
DECKED,2.3637
DECKUT,2.1047
DEDROU,1.8163
DEKFAD,3.3288
DELPOZ01,2.0151
DEXFAN,2.8894
DIBHIF,4.0111
DIJJIR,3.2417
DIJQAR,3.3805
DODWUQ,1.5648
DOHXED,2.4212
DOPROS,3.1034
DOQWUC,2.5599
DOVMOQ,2.3773
DUCQIC,1.9494
DUDTUS,3.4014
DUGPIF,5.0654
DUPMUX,2.2599
DUQQAJ,1.2527
DUSSOB,2.1246
DUTMIO10,3.3648
DUWWEY,3.074
EAIMCO,2.7407
EAIVCO,3.4101
EBUSEB,2.999
EDEZEU,2.478
EDIXIY,2.6529
EDOZAA,2.8298
EGEMOS,2.1773
EHEXOE,2.5482
EJUSEK,3.1945
EKOKEV,2.9342
ELUJUQ,1.7421
EMEDEH,3.1512
EQEQAV,2.286
EQIVOP,2.862
ERIMEZ02,-0.1157
ERIPEB,2.8355
ERUXIZ,3.4301
ESUYUM,0.7286
EVILOM,2.3274
EWOBEX,1.1649
EXUKEP,2.297
FANFAD,2.8358
FAPSAT,2.6043
FAWQEZ,4.0228
FAYHOF,2.6417
FEBRAF,3.12
FEHLIO,3.7511
FEHNOV,2.6315
FERBEK,2.1621
FESXOQ,1.8787
FEVFET,1.7319
FEWRIK,2.3191
FEWYIS,2.4193
FEZTEM,2.1804
FIDZEY,3.0839
FIFDUU,2.3833
FIMPOH,1.951
FIZQIP,2.4736
FOTZET,4.3372
FURPEO,1.5815
FUYTEA,1.8098
GADMEH,2.9219
GAGVUG,2.8437
GAHJEG,3.956
GAMZEA,2.6443
GAXZEN,2.7416
GEDJEE,3.3815
GELBII,3.8057
GEPBEJ,1.6665
GIDKAH,2.8326
GIFJEM,3.8829
GILZIK,2.2245
GISLUQ,4.4617
GIXYIV,3.4892
GOCDEH,3.0774
GOJFIU,3.1576
GOKREF,3.3734
GONTIM,4.1382
GOXXEW,2.4452
GULWUH,2.8775
GUSCOP,3.1418
GUTXOL,2.3097
HAGHOO,3.3465
HAHYAR,1.6231
HAXXOU,1.4522
HAYLOI,2.3858
HERGUG,3.4368
HERHAN,3.0853
HESMIB,3.7977
HETLEX,2.3292
HEYKOL,3.861
HEYMIH,3.6502
HEYPEG,2.4734
HIKNEV,3.0245
HINVUY,2.765
HIPKUO,2.7892
HIVDAS,3.3095
HIXZUJ,2.7195
HOGHEQ,2.0394
HONZUF,2.4976
HOPCEU,2.7794
HOTRIS,2.5108
HUBLEW,1.9117
HUBMUN,2.114
HUMBEX,2.3544
IFOPAU,2.2499
IGUREJ,2.8601
IHABID,4.2075
IHALUZ,2.707
IHUDUL,3.6919
ILUFUQ,2.3987
ILURIR,1.9304
INEDEM,2.7118
INIHAP,2.3886
IPIYEM,2.5627
IREWEK,2.7807
ISIPUV,2.0581
ISOWOC,3.9774
ITEXAH,2.7258
ITEXIO,2.2507
IVOSES,2.2356
JAGGED,3.3998
JAPLUI,1.1577
JAWSUY,2.0205
JAYNAB,3.6165
JEDJAE,3.1959
JELSIC,4.1862
JIWFUQ,2.265
JIXLEH,2.8857
JODNEV,3.5755
JONMEE,3.4441
JORKAC,3.5437
JUNGEH,3.1466
JURHIN,2.1632
KAGJOU,2.8101
KAJHUC,3.0827
KAKVUO,3.5426
KAPJAO,3.7708
KAXMEB,1.271
KAXXIR,3.2061
KAXYUE,1.6952
KEFQOC,2.2643
KEGRET,3.6382
KEQVAD,2.7927
KISKON,3.4561
KUGXUG,2.3959
LADCIC,1.8608
LADCOI,1.8902
LALPET,2.1002
LASXIM,2.796
LAYVOX,2.184
LEDQUH,2.8136
LEPSEF,1.3819
LINROQ,2.9652
LIXMUD,2.0372
LODYOS,2.8041
LOPXOD,2.0688
LOSHOS,2.2771
LOZWIJ,2.7331
LUCYOX,3.6153
LULDOM,2.9993
LUWCIP,1.134
LUWCUB,1.2487
LUYXEJ,1.8437
MACZEW,3.5791
MADLOV,1.5267
MAGGEK,2.4335
MAHNOZ,2.1886
MASPAZ,2.2638
MASPED,2.2851
MAXZOC,1.8076
