refcode,gap
AACANI11,2.3525
ACNCOB20,3.3572
AFAVIO,3.6347
AGAVAI,2.5969
AGIDEC,3.7715
AGODAC,3.3746
AGUDUE,2.5127
AJAFEX,3.6546
AJICUT,1.7995
ALALAA,1.7392
ALOTUR,3.5411
AQIYAA,3.786
AQSUMN,1.0442
ATOMOM,1.993
ATUFAW,3.4094
AWOLOO,1.7567
AYOYES,2.8111
AZIDIY,0.875
AZISUY,2.6229
BABTED,3.6735
BAMCOM,2.5077
BAVNAN,3.8971
BAYDEL,2.6014
BEJDUS,2.0986
BEKGAB,2.9686
BEKPUE,3.2492
BEKZIA,1.8911
BEXJUK,2.513
BEXKOE,2.716
BIKDAA,3.0652
BILVUQ,2.9926
BINJOZ,3.7311
BITTAC,2.8338
BIWPED,2.5571
BODQES,4.6838
BOHGAG,4.6281
BOLVAA,4.085
BOZJEH,3.5804
BRURMN,3.6691
BUCRAS,1.6388
BUKFAR,2.1235
CAMRAM,1.4425
CAPZAW,2.5185
CAZVAA,2.9459
CAZZUY,2.6671
CECBOB,2.9072
CEDYAM,2.9583
CETFAI,2.798
CETGOX,3.7615
CIDKEI,0.9026
CIDVOA,1.6528
CIJYID,2.4749
CIMGOU,4.5745
CIMHEL,4.6344
CIXXEN,2.5086
CMPYCR,3.4774
CODLEO,2.4661
COFMOC,4.4525
COJHAN,2.2841
COLNEW,2.5733
CORSUA,1.7071
CPMSNI10,3.3496
CUBBOQ,3.1825
CUJNAY,3.3064
CUVZIE,3.1053
CUZBUU,3.1782
DAJVIT,3.2164
DAKNEI,3.3158
DAMTES,2.9479
DAMYUL,2.5811
DAPQOD,1.767
DAQXEY,2.0594
DECLAA,2.1419
DEDROU,1.8163
DEFPEJ,2.4829
DEGJEF,2.3071
DEKFEH,3.3719
DEQNIX,3.8169
DEXFOB,1.762
DEXZAK,1.9919
DIBHIF,4.0111
DIDMAG,2.444
DIDMEK,2.3116
DIJJIR,3.2417
DIYVAL,3.9943
DOPROS,3.1034
DOQWUC,2.5599
DOVKUV,2.4289
DOVMOQ,2.3773
DOXXOE,1.9951
DPBPCR,2.0874
DUDTUS,3.4014
DUFLEW,1.8319
DUMCUJ,2.2029
DUPMUX,2.2599
EBOTIY,3.2596
ECADOB01,3.5627
ECEXIU,2.1052
EDECEX,1.72
EDIDED,2.6858
EDIGON,2.9471
EDIXIY,2.6529
EGUVOR,2.8938
ELUJUQ,1.7421
ERIMEZ02,-0.1157
ERIQIG,2.0711
ETAKIT,2.3439
EVILOM,2.3274
EWABUA,3.5943
EWANAR,1.9667
EWOBEX,1.1649
EWUSEW,2.9374
EXOCEA,3.0189
EYEYEM,2.8972
FAPSAT,2.6043
FAYHIZ,2.9805
FEGVOE,2.3124
FERWEH,1.3984
FEVFET,1.7319
FEWGIX,3.5977
FEWMEA,2.7184
FEWYAK,2.5947
FEXTUY,2.9651
FEZTEM,2.1804
FEZXUD,4.4607
FIMPIB,2.8659
FIPWEG,4.0068
FISGAS,2.1632
FOMPUU,1.0207
FONPUT,3.0565
FOQNOP,4.78
FOXGAB,2.0532
FUNHUS,2.4318
FURROZ,5.0623
GADMOR,2.8588
GAGVUG,2.8437
GAMZIE,2.5287
GAPZEC,3.1755
GAXYOW,2.2431
GEDFIE,4.7555
GENBUW,3.1663
GEPPEX,2.1983
GESNAT,3.4625
GIBGON,2.8444
GIFJEM,3.8829
GISLUQ,4.4617
GITYOY,2.3821
GIXYIV,3.4892
GONTIM,4.1382
GOQZIX,1.7047
GORWIT,3.1962
GOVDOK,3.947
GOXBAW,2.0425
GOXXEW,2.4452
GUVZIH,2.8283
HAFRAI,2.8419
HARLER,2.5235
HAWNUQ,3.9082
HEBMOQ,3.526
HEHJOW,1.9323
HERHAN,3.0853
HERTII,3.4038
HESNAX,2.6204
HETLEX,2.3292
HEYNII,2.9114
HIGVAV,2.3848
HIKNEV,3.0245
HIPLEY,2.8993
HMSIAF13,1.8541
HOGFIV,2.1164
HOKXAG,3.9302
HOMKUP,2.5968
HONZIT,2.6983
HOPYIW,2.0969
HOSRUD,2.2368
HOTRIS,2.5108
HOTVIW,3.5955
HOTXIX,2.745
HUKJAA,2.2743
IFODIR,2.3831
IGUREJ,2.8601
IHALUZ,2.707
IHEVUM,3.0106
IHIGEN,3.0243
IJOPED,2.873
IKERUO,3.7232
IKIVOO,1.7367
IKURAI,3.067
ILOLOM,2.8765
ILURIR,1.9304
IMUCAX,2.8916
INUVUL,2.6011
IPEPNI,2.6698
ISALNI,2.6718
ITARIF,1.9277
IXAQII,2.2844
IXASAC,2.4472
IXEPAE,2.5461
JAPTAV,2.4691
JASBOV,2.6219
JECBEZ,2.5706
JEJTUN,2.5553
JEXKIH,2.414
JIWRIQ,2.8129
JIYYIA,2.2558
JODGIT,3.2003
JOJWAG,3.1229
JOWGEH,2.7183
JUWHAK,2.1798
KAGXUP,1.3537
KAPJAO,3.7708
KEFYAV,4.5477
KEZRIR,2.045
KIJSUR,3.654
KIQGOG,3.019
KIRDOH,2.6346
KIRPAE,2.8315
KIWZAT,3.2991
KOCNUM,3.1072
KOGFET,3.8819
KOLZAN,3.548
KUGNEG,4.6384
KUGXOA,2.433
KUSPUJ,3.6016
LAJYUR,1.662
LALPET,2.1002
LAMLOC,2.4619
LAPYAC,2.3405
LAVKEA,1.8834
LAYMEF,2.1725
LEDQUH,2.8136
LEMVOQ,3.213
LEYSEN,3.5773
LINRUW,2.2504
LINSOR,3.3423
LIXMOX,2.0953
LODFAL,3.9857
LOJVEN,0.846
LONRUC,3.4098
LUGDUM,4.0667
LUGPAE,2.5729
LUHPIO,2.6753
LUJROX,3.3104
LUTFAJ,2.5017
LUWCIP,1.134
LUZXEL,2.7114
MACPUC,3.8407
MACZEW,3.5791
MAJCAC,2.2935
MAMCOS,2.6374
MASNUR,2.4073
MASPAZ,2.2638
MAWLOL,3.837
MAZOCT,2.7885
MECPCO,2.8384
MEHNOC,3.3668
MEJYOS,2.1211
MIDJOY,2.2749
MIJPAZ,3.1082
MINNAZ,3.2416
MODREE,2.8647
MOFMAV,2.5944
MOMCIB,1.8103
MOPSUF,3.7452
MOWVOK,2.5494
MUJZUM,2.1694
MUKGUU,0.9339
MUKJOS,1.739
MUTVUU,3.1027
NADLOU,3.2694
NALPUL,2.5657
NAQQAY,1.7427
NASJAT,2.5734
NASJEX,2.4389
NEDGIM,2.0852
NEFQEU,3.1337
NEHWIH,3.1831
NEMXIN,2.1769
NEYVUI,2.2876
NEZPEQ,2.5309
NIDMOE,2.4064
NIHYIP,1.9186
NISBEW,3.7401
NIWTOC,2.7154
NOFJOI,2.3155
NOTPUK,4.1334
NOYJUG,2.2817
NTMTUC,3.2005
NUKPAM01,1.2948
NUZSUX,1.8193
OBOKOF,3.2862
OCOCFE,3.7868
OCUJOL,1.4573
OFUROX,3.1463
OMUHAG,3.5906
ONAPOL,1.4794
ONAXIM,1.7232
OQEPOR,2.7151
ORODOP,2.1116
OROFEH,3.7177
OYIKUE,2.1083
OZIREV,2.5413
PADJAH,1.1937
PAHMUJ,2.7503
PANGER,3.0816
PAXVAM,2.0747
PAYHIG,3.0015
PAZPAI,2.9347
PEKPAW,3.6407
PENBUG,2.4174
PENHOI,2.694
POWROJ,2.1465
PUGLOS,2.4416
PUKPUG,3.2327
PUMQAQ,3.3244
PUXRAC,0.9715
PYRMNC,2.9536
QAGCEG,2.9725
QAQBIV,4.257
QAQZEO,2.369
QAWZIX,3.3923
QAYBAT,2.3907
QAYCEY,2.2423
QAZCIF,2.2463
QEDCOR,2.594
QEHZIN,2.3987
QENWUC,4.3697
QIDNAU,2.3701
QIRWUL,2.1278
QITWUO,1.6456
QIXDEI,1.493
QOKYIY,3.0598
QOLKIM,1.7734
QOQKIQ,4.6566
QORDUY,1.9784
QOSGEL,2.1068
QUHKIO,2.4135
QUZWAL,1.7192
RADLEO,2.5258
RALNUO,2.3571
RANJIA,2.2316
RATBIY,2.675
RAVYIX,2.711
RAWRUF,1.0017
RAWTEO,2.3731
RAXXUM,2.7999
REMMEB,3.0765
REMMOM,2.1296
RENGAV,2.9234
RERCUP,3.4384
REXMIQ,2.4346
RISQOC,2.6543
RIXTIC,2.4661
RUHGUW,3.3721
RUHMAI,2.2131
RUKLAK,3.5792
RUMNUK,2.5228
RUMRAU,3.8163
RUWSAG,3.2677
RUWSOU,3.2099
SABDAB,0.8454
SADRAU,3.4367
SAHZIK,2.7101
SAYMIO,2.0527
SELSEI,2.3982
SEMROU,1.5264
SEZVAU,2.2472
SILWOA,1.8576
SIXZAA,2.2267
SOFWIU,4.7354
SOQLUF,2.7575
SUFBUS,3.2948
SUJVAW,2.7578
SUVREI,3.3296
TACNAN,4.3565
TADFEJ,3.5918
TAGZUA,1.6018
TEHYOV,2.2953
TETFON,2.785
TEVXUQ,2.2732
THETCO,2.7797
TIVNUJ,2.3368
TIZJES,1.6216
TOBBAP,3.0278
TOBWEO,2.8998
TOLZUQ,2.3552
TOPJUF,1.6643
TUDGII,3.432
TUDJEH,1.6258
TUDJIL,4.1158
TUJWIE,2.6143
TUKGUB,2.0779
TUTMAW,3.4343
UBODUK,1.2582
UBOMEG,2.4839
UCIVUZ,2.3042
UDUSAQ,3.5234
UGODAW,2.3169
UHEHAQ,1.9457
UJUSOI,2.3282
ULAYUC,4.2644
UMIPIP,3.6055
UMIZUL,2.8256
UMUJUK,2.0826
UPIMAI,2.2802
UWIFOW,3.803
UWIPEW,2.4452
UZEYEE,3.2879
VABKUE,2.9527
VAHGES,2.1852
VAQFAU,1.4503
VEKNOO,2.5555
VESZUP,3.1271
VEWKIU,3.242
VEXWON,3.0111
VEYTAW,3.4874
VEYXOP,2.326
VIBWUZ,2.5622
VIFWUD,1.7551
VIJVIT,2.7224
VOBYEQ,1.8011
VOGYUM,1.8457
VOVDIT,1.9833
VOYJEY,4.3363
VUDXOH,3.5907
VULMOE,3.7193
WABMOB,1.5236
WACDAF,1.5069
WAGHET,2.7451
WAJGUL,1.2751
WEFCIT,3.0532
WEHZER,2.3866
WEJKOL,2.9043
WERHUZ,1.5665
WIJLUZ,3.1937
WITBEJ,1.9317
WOKCEE,1.1318
WUGCAD,2.5975
WULSEB,2.3855
WUNCAK,2.6244
WUNCEO,3.1495
WURXOZ,4.7085
WUTDAQ,2.9973
WUXVOA,1.9332
XADCIP,1.7271
XAHLEY,2.7032
XEFXEM,2.7944
XEYZEH,3.1932
XEZWOQ,2.7482
XIBBAL,2.3653
XIFPAD,2.0703
XILTIV,3.7836
XIYPAY,2.9042
XOCJAB,3.7883
XONCEJ,2.5466
XOQZOT,1.4041
XUPREF,1.9236
YAJLAW,2.2628
YALHUP,2.8443
YAQLOR,2.293
YARTIW,4.1126
YASHOP,3.3929
YASHUV,3.2191
YASPUE,2.8213
YECRII,2.5627
YECSIK,2.364
YEJJIG,1.61
YEKLOQ,3.0214
YELWAN,2.2763
YEQTOE,3.0901
YEQZID,2.5081
YETBUV,3.5251
YETCEG,3.4137
YETCIK,3.6141
YEWSUO,2.1451
YEZYUZ,3.5099
YIKVUJ,3.3573
YITVON,2.1596
YIYDAM,2.8107
YOBCUO,2.6568
YOJKEN,2.2123
YOJVOJ,1.0412
YOLDAG,2.7598
YUMGOF,2.1845
ZASRUG,3.6803
ZAVTUN,1.8435
ZEBCEQ,2.6141
ZEBSAA,3.3173
ZEHPAD,1.1169
ZEYWAD,1.3877
ZILSEU,3.0192
ZIMBEC,1.9197
ZIVLIC,3.0375
ZOBQIQ,2.7534
ZOQXIM,4.1731
