refcode,gap
ABATED,3.1458
ACNCOB20,3.3572
ADEQUY,2.7109
ADERAF,2.7591
AFOMEQ,2.9467
AGLCMN,3.8044
AHABER,2.5633
AJAFEX,3.6546
AJICUT,1.7995
ALILOX,2.2306
APOHUK,1.9539
AQIYII,3.4526
AQIZEF,3.3104
AREJUD,3.1834
ARIVEE,2.3266
ASATEW,2.1477
ASUVIT,3.7437
AVALAL,3.5878
BABPAX,3.0782
BABTED,3.6735
BADHIZ,3.1049
BAJWAL,1.7965
BAPPOX,4.5407
BAWLAN,1.5684
BAYDEL,2.6014
BEFPOR,3.5563
BEKGAB,2.9686
BEKGOP,2.9302
BEPTIA,2.0603
BGUCRM,3.5591
BIBDUM,1.5172
BINCOR,2.5868
BIPJER,1.9271
BOKZEH,2.0157
BOLVAA,4.085
BOMVEF,3.3015
BOTHEX,4.3103
BOWYUJ,2.847
BOXSEO,3.1445
BUCRAS,1.6388
BUJPIH,1.8586
BUXYIE,1.4996
CADYUC,2.3281
CAFTIM,4.7331
CAFZAM,2.2434
CAJFAV,2.1403
CAJFEZ,2.3858
CEHHON,6.012
CEQPOF,2.8504
CIMGOU,4.5745
CIZLAY,2.4758
COETDS10,3.4341
COFMOC,4.4525
COLNEW,2.5733
COPKAU,3.4774
CORSIO,1.807
CPTCFE,3.8216
CSCNCC01,5.9543
CUCQIB,2.9904
CUPCEV,2.5039
CUWSIW,2.7274
DAMTES,2.9479
DAPQOD,1.767
DAQRAR,2.8065
DECKAZ,2.3679
DECKED,2.3637
DEDROU,1.8163
DEKFAD,3.3288
DENYAZ,2.5585
DEXFOB,1.762
DIDMEK,2.3116
DIFKUY,2.3468
DIJJIR,3.2417
DIRPOJ,2.1929
DITLAW,2.895
DITQEE,1.1992
DOFZAA,3.6611
DOHXED,2.4212
DOJCOX,2.5531
DOKQOJ,3.5032
DORZEP,4.1586
DOVMOQ,2.3773
DOXXOE,1.9951
DUCGUD,3.2238
DUDTUS,3.4014
DUSSAL,2.2983
DUTMIO10,3.3648
DUWWEY,3.074
EBECAP,2.5398
EBOTIY,3.2596
EDIDED,2.6858
EDOZAA,2.8298
EGAMUX,2.7111
EGEYIA,2.3324
EKOKEV,2.9342
ELUSUB,2.2357
ELUTAI,2.2932
ENUSAJ,3.3192
EPUTOB,1.235
EQACEF,2.3276
EQEQAV,2.286
EQIVOP,2.862
EQOQIK,4.6003
ESIJEY,3.375
EWOBUP02,2.3221
EWUSEW,2.9374
EXOCEA,3.0189
EXUKEP,2.297
EYIRUA,2.18
EYITAJ,2.4479
EYOZEY,2.5847
FAJHUX,3.3199
FEHNOV,2.6315
FEVFET,1.7319
FEWFUI,2.7454
FEXTUY,2.9651
FIDZEY,3.0839
FIHFIO,2.1941
FIKXEF,3.5516
FISGAS,2.1632
FIZQIP,2.4736
FOMQAB,1.0091
FONPUT,3.0565
FOQNOP,4.78
FOSKEF,2.6889
FOSVIS,3.3926
FOXGAB,2.0532
FURBIF,0.1885
FUYTOK,1.8306
FUYYAB,3.1773
GAGVUG,2.8437
GAMZAW,2.4545
GAMZEA,2.6443
GAWNAU,3.5739
GAYZEL,2.2571
GAZHAQ,3.523
GEDJEE,3.3815
GEZGEA,2.3721
GEZGIE,2.3628
GIBGON,2.8444
GIFFOS,2.3659
GITHEY,2.0145
GIYGUT,2.7446
GOJVAC,3.7971
GUSCOP,3.1418
GUSJAI,4.4293
HAFQUB,4.2825
HAGHOO,3.3465
HAHHII,2.8473
HATPAU,4.5282
HAVRII,2.4244
HAXCOA,3.3065
HEBMOQ,3.526
HECVER,2.2828
HEHJOW,1.9323
HERVOQ,2.8683
HIDXUP,3.2653
HIGVAV,2.3848
HIKNEV,3.0245
HIKNIZ,3.093
HIMKOE,2.5424
HINVUY,2.765
HIPKUO,2.7892
HIZDID,3.2708
HOCREX,2.794
HOHCAI,3.2045
HOKXAG,3.9302
HONZOZ,2.5337
HUSXUP,2.267
HUTCOR,3.9215
HUXWAZ,2.5586
IFODIR,2.3831
IHABID,4.2075
IKURAI,3.067
ILATEV,3.0858
ILOLOM,2.8765
ILONUV,2.7069
INIHAP,2.3886
IPEPNI,2.6698
IPOFUR,3.0029
IROJEF,1.8757
ISIPUV,2.0581
ITEREF,2.4175
IVUTEY,1.8141
IWOWEX,2.5269
IXAQII,2.2844
IXAROP,2.5297
IXEPAE,2.5461
IXEQAF,2.6913
JAWSUY,2.0205
JELSIC,4.1862
JEPNUO,2.6902
JEWNEF,2.3294
JEXKED,2.0431
JILVAB,4.1582
JIPDUI,3.6817
JIVFID,2.4819
JIZNEM,2.5657
JOBBAF,3.0531
JOBJUI,4.7519
JODWII,1.8767
JUDRAD,1.457
JUQDAA,2.0925
KAGCIH,1.7586
KAGLUA,3.2535
KAGXID,1.5709
KAJHUC,3.0827
KAJTOE,2.8955
KAKVUO,3.5426
KANYON,3.2532
KAWFET,4.1184
KEFLUD,1.9946
KEFQES,2.3671
KEFQOC,2.2643
KEHKOX,2.6575
KEHREU,3.9214
KELXUU,2.1676
KILBAJ,2.7556
KIRPAE,2.8315
KISKON,3.4561
KOLZAN,3.548
KUBGOD,4.1821
KUGXIU,2.4212
KULBUO,1.8293
LAPNIZ,2.7967
LAXFAR,2.7037
LAXNON,3.7633
LAXNUT,3.9202
LAYVOX,2.184
LELLAQ,2.4123
LEPSEF,1.3819
LEPYOV,2.8972
LEWNIN,2.244
LEZQUC,3.9916
LIBYOM,2.8132
LINRUW,2.2504
LIXMUD,2.0372
LOHMUS,2.1512
LOJVEN,0.846
LONGAW,2.7271
LONGEA,2.7229
LOZWIJ,2.7331
LUBPOQ,2.2075
LUJROX,3.3104
LULDOM,2.9993
LUWCUB,1.2487
LUWDAI,1.2101
LUYMAU,2.6556
MAGGEK,2.4335
MAJYUS,1.7374
MAKPIX,3.5199
MARJIZ,1.2955
MASPAZ,2.2638
MAWLOL,3.837
