id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs,triple_product
15406,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,COC(=O)[C@@H]1OC(C)(C)O[C@H]1C(=O)OC,-36.0,-195.98,218.205,-218.205,195.98,23.607544478033613
79778,C[C@@H]1CCCN1,C[C@@H]1CCCN1,-32.1,-82.08,85.15,-85.15,82.08,-8.361614615483266
81750,[H][C@](C)(O)[C@@]1([H])O[C@]2([H])OC(C)(C)O[C@]2([H])[C@H]1O,C[C@@H](O)[C@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O,-10.43,-4.54,204.222,-204.222,4.54,-20.093651896873755
83472,[H][C@]12O[C@]3([H])[C@@H](C)OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,C[C@H]1OC(C)(C)O[C@@H]2[C@H]3OC(C)(C)O[C@H]3O[C@@H]21,34.43,106.66,244.28699999999995,244.28699999999995,106.66,39.241124211927854
83899,COC1=C(OC)C=C2[C@H](C)NCCC2=C1,COc1cc2c(cc1OC)[C@H](C)NCC2,-45.4,-212.51,207.273,-207.273,212.51,41.67593904415407
84221,COC1=C(OC)C=C2[C@H](C)N(C)CCC2=C1,COc1cc2c(cc1OC)[C@H](C)N(C)CC2,-27.5,13.37,221.29999999999995,221.29999999999995,13.37,47.37396219459761
84655,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,COC(=O)[C@@H]1C[C@@H](O)CN1C(C)=O,-89.9,-56.18,187.195,-187.195,56.18,29.835515759328185
84954,C[C@@H]1OC=C[C@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](C)OC=C[C@@H]1OC(C)=O,65.0,-33.28,214.217,-214.217,33.28,23.1438134086279
85031,CC(=O)O[C@@H]1COC=C[C@@H]1OC(C)=O,CC(=O)O[C@H]1C=COC[C@H]1OC(C)=O,200.0,-146.21,200.19,-200.19,146.21,24.912114783251333
85171,[H][C@]1(COC(C)(C)O1)[C@]1([H])OC(C)(C)O[C@H]1C=O,CC1(C)O[C@@H]([C@@H]2COC(C)(C)O2)[C@H](C=O)O1,10.0,93.72,230.26,230.26,93.72,40.95856703242432
x15406,,,36.0,195.98,218.205,218.205,195.98,-23.60754458157151
x79778,,,32.1,82.08,85.15,85.15,82.08,8.36161462871807
x81750,,,10.43,4.54,204.222,204.222,4.54,20.093651892663534
x83472,,,-34.43,-106.66,244.28699999999995,-244.28699999999995,106.66,-39.24112418558727
x83899,,,45.4,212.51,207.273,207.273,212.51,-41.675938980816
x84221,,,27.5,-13.37,221.29999999999995,-221.29999999999995,13.37,-47.37396235499343
x84655,,,89.9,56.18,187.195,187.195,56.18,-29.835515673465157
x84954,,,-65.0,33.28,214.217,214.217,33.28,-23.14381345932151
x85031,,,-200.0,146.21,200.19,200.19,146.21,-24.912114909618218
x85171,,,-10.0,-93.72,230.26,-230.26,93.72,-40.95856708321053
