SMILES	Structure: Image	Substance Identification: Reaxys Registry Number	Links to Reaxys	Data Count	CAS Registry Number	Chemical Name	Linear Structure Formula	Molecular Formula	Molecular Weight	Type of Substance	Type and Modification	InChI Key	Composition: Comp. Name	Composition: Comp. Conc.	Composition: Comp. Attrib.	Field Availability	Number of Reactions	Number of References	LogP	H Bond Donors	H Bond Acceptors	Rotatable Bonds	TPSA	Lipinski Number	Veber Number	Optical Rotatory Power: Type (Optical Rotatory Power)	Concentration (Optical Rotatory Power)	Enantiomeric excess [%ee]	Length of Path [cm]	Solvent (Optical Rotatory Power)	Optical Rotatory Power [deg]	Wavelength (Optical Rotatory Power) [nm]	Temperature (Optical Rotatory Power) [C]	Location	Comment (Optical Rotatory Power)	References	Links to Reaxys	
C#CC1=CC=CC=C1		605461	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D605461&database=RX&origin=ReaxysOutput&ln=	(1 of 3437)	536-74-3	phenylacetylene; PhC*CH; ethynylbenzene; phenylethyne; 1-ethynylbenzene; acetylene	HC6H4CCH	C8H6	102.136	isocyclic		UEXCJVNBTNXOEH-UHFFFAOYSA-N				Identification(8904); Physical Data(485); Spectra(375); Bioactivity(1723)	101353	34173	2.52	0	0	0	0	4	2	[alpha]				dichloromethane	3	589	25			Article; Kuram, Malleswara Rao; Bhanuchandra; Sahoo, Akhila K.; Journal of Organic Chemistry; vol. 75; 7; (2010); p. 2247 - 2258;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8874076&database=RX&origin=ReaxysOutput&ln=	
COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O		3591067	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3591067&database=RX&origin=ReaxysOutput&ln=	(2 of 3437)	22204-53-1	(2S)-2-(6-methoxy(2-naphthyl))propanoic acid; naproxen; (S)-naproxen; (S)-2-(6-methoxynaphthalen-2-yl)propanoic acid; (S)-(+)-2-(6-methoxy-2-naphthyl)propionic acid; naproxene; (2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid; (S)-2-(6-methoxynaphthalen-2-yl)propionic acid; 2-(6-methoxynaphthalen-2-yl)propanoic acid; S-Nap; NPX	CH3OC10H6CHCH3COOH	C14H14O3	230.263	isocyclic		CMWTZPSULFXXJA-VIFPVBQESA-N				Identification(31415); Physical Data(621); Spectra(279); Bioactivity(2104)	2229	22053	2.844	1	2	3	46.53	4	2	[alpha]	0.5 g/100ml			dichloromethane	61.1	589	25			Article; Kamble, Rohit B.; Devalankar, Dattatraya; Suryavanshi, Gurunath; New Journal of Chemistry; vol. 42; 12; (2018); p. 10414 - 10420;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D74016391&database=RX&origin=ReaxysOutput&ln=	
CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C		7875788	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D7875788&database=RX&origin=ReaxysOutput&ln=	(3 of 3437)	123441-03-2	rivastigmin; Rivastigmine; (S)-rivastigmine; (S)-3-(1-(dimethylamino)ethyl)phenyl ethyl(methyl)carbamate; rivastigmine tartrate; (S)-3-[1-(dimethylamino)ethyl]phenyl N-ethyl-N-methylcarbamate	C14H22N2O2	C14H22N2O2	250.341	isocyclic		XSVMFMHYUFZWBK-NSHDSACASA-N				Identification(5292); Physical Data(67); Spectra(75); Bioactivity(799)	83	5830	2.289	0	3	6	32.78	4	2	[alpha]	1 g/100ml	99		dichloromethane	-33	589	25	supporting information		Article; Wakchaure, Vijay N.; Kaib, Philip S. J.; Leutzsch, Markus; List, Benjamin; Angewandte Chemie - International Edition; vol. 54; 40; (2015); p. 11852 - 11856; Angew. Chem.; vol. 127; (2015); p. 12019 - 12023,5;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D67169436&database=RX&origin=ReaxysOutput&ln=	
[H][C@@](C)(O)C1=CC=CC=C1		2039797	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2039797&database=RX&origin=ReaxysOutput&ln=	(4 of 3437)	1445-91-6	(S)-1-phenylethanol; (S)-1-phenylethan-1-ol; 1-phenylethanol; 1-phenylethan-1-ol; (1S)-1-phenylethan-1-ol; (S)-(+)-1-phenylethyl alcohol; (S)-(-)-phenylethanol; (1S)-1-phenylethanol	C6H5CH(OH)CH3	C8H10O	122.167	isocyclic		WAPNOHKVXSQRPX-ZETCQYMHSA-N				Identification(1575); Physical Data(344); Spectra(292); Bioactivity(186)	1556	3604	1.737	1	1	1	20.23	4	2	[alpha]	1.0 g/100ml	95		dichloromethane	-23.6	589	25	supporting information		Article; Zhang, Chenhao; Gao, Anthony Z.; Nie, Xin; Ye, Chen-Xi; Ivlev, Sergei I.; Chen, Shuming; Meggers, Eric; Journal of the American Chemical Society; vol. 143; 33; (2021); p. 13393 - 13400;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D98831246&database=RX&origin=ReaxysOutput&ln=	
[H][C@@](C)(O)C1=CC=CC=C1		2039797	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2039797&database=RX&origin=ReaxysOutput&ln=	(4 of 3437)	1445-91-6	(S)-1-phenylethanol; (S)-1-phenylethan-1-ol; 1-phenylethanol; 1-phenylethan-1-ol; (1S)-1-phenylethan-1-ol; (S)-(+)-1-phenylethyl alcohol; (S)-(-)-phenylethanol; (1S)-1-phenylethanol	C6H5CH(OH)CH3	C8H10O	122.167	isocyclic		WAPNOHKVXSQRPX-ZETCQYMHSA-N				Identification(1575); Physical Data(344); Spectra(292); Bioactivity(186)	1556	3604	1.737	1	1	1	20.23	4	2	[alpha]	1 g/100ml	96.2		dichloromethane	-50.6	589	25	supporting information		Article; Kišic, Andrea; Stephan, Michel; Mohar, Barbara; Advanced Synthesis and Catalysis; vol. 357; 11; (2015); p. 2540 - 2546;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D66826009&database=RX&origin=ReaxysOutput&ln=	
[H][C@@](C)(O)C1=CC=CC=C1		2039797	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2039797&database=RX&origin=ReaxysOutput&ln=	(4 of 3437)	1445-91-6	(S)-1-phenylethanol; (S)-1-phenylethan-1-ol; 1-phenylethanol; 1-phenylethan-1-ol; (1S)-1-phenylethan-1-ol; (S)-(+)-1-phenylethyl alcohol; (S)-(-)-phenylethanol; (1S)-1-phenylethanol	C6H5CH(OH)CH3	C8H10O	122.167	isocyclic		WAPNOHKVXSQRPX-ZETCQYMHSA-N				Identification(1575); Physical Data(344); Spectra(292); Bioactivity(186)	1556	3604	1.737	1	1	1	20.23	4	2		1.0 g/100ml	90		dichloromethane	-45	589	25			Article; Jiang, Heyan; Journal of Chemical Research; vol. 37; 12; (2013); p. 761 - 763;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D62417690&database=RX&origin=ReaxysOutput&ln=	
[H][C@@](C)(O)C1=CC=CC=C1		2039797	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2039797&database=RX&origin=ReaxysOutput&ln=	(4 of 3437)	1445-91-6	(S)-1-phenylethanol; (S)-1-phenylethan-1-ol; 1-phenylethanol; 1-phenylethan-1-ol; (1S)-1-phenylethan-1-ol; (S)-(+)-1-phenylethyl alcohol; (S)-(-)-phenylethanol; (1S)-1-phenylethanol	C6H5CH(OH)CH3	C8H10O	122.167	isocyclic		WAPNOHKVXSQRPX-ZETCQYMHSA-N				Identification(1575); Physical Data(344); Spectra(292); Bioactivity(186)	1556	3604	1.737	1	1	1	20.23	4	2	[alpha]	1 g/100ml	99		dichloromethane	-22.5	589	25			Article; Barros-Filho, Bartholomeu A.; Nunes, Fatima M.; de Oliveira, Maria da Conceicao F.; Lemos, Telma L.G.; de Mattos, Marcos C.; de Gonzalo, Gonzalo; Gotor-Fernandez, Vicente; Gotor, Vicente; Journal of Molecular Catalysis B: Enzymatic; vol. 65; 1-4; (2010); p. 37 - 40;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8942264&database=RX&origin=ReaxysOutput&ln=	
[H][C@@](C)(O)C1=CC=CC=C1		2039797	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2039797&database=RX&origin=ReaxysOutput&ln=	(4 of 3437)	1445-91-6	(S)-1-phenylethanol; (S)-1-phenylethan-1-ol; 1-phenylethanol; 1-phenylethan-1-ol; (1S)-1-phenylethan-1-ol; (S)-(+)-1-phenylethyl alcohol; (S)-(-)-phenylethanol; (1S)-1-phenylethanol	C6H5CH(OH)CH3	C8H10O	122.167	isocyclic		WAPNOHKVXSQRPX-ZETCQYMHSA-N				Identification(1575); Physical Data(344); Spectra(292); Bioactivity(186)	1556	3604	1.737	1	1	1	20.23	4	2	[alpha]	1.0 g/100ml	99		dichloromethane	-22.9	589	25			Article; Barros-Filho, Bartholomeu A.; de Oliveira, Maria da Conceicao F.; Lemos, Telma L.G.; de Mattos, Marcos C.; Gonzalo, Gonzalo de; Gotor-Fernandez, Vicente; Gotor, Vicente; Tetrahedron Asymmetry; vol. 20; 9; (2009); p. 1057 - 1061;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8774284&database=RX&origin=ReaxysOutput&ln=	
[H][C@](COC)(NC(C)=O)C(=O)NCC1=CC=CC=C1		7516898	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D7516898&database=RX&origin=ReaxysOutput&ln=	(5 of 3437)		lacosamide; (R)-2-acetamido-N-benzyl-3-methoxypropionamide; (R)-2-acetamido-N-benzyl-3-methoxypropanamide; (R)-lacosamide; vimpat; LCM; (2R)-2-(acetylamino)-3-methoxy-N-(phenylmethyl)propanamide; (2R)-2-(acetylamino)-N-benzyl-3-methoxypropanamide; (R)-2-acetylamino-N-benzyl-3-methoxypropionamide; (R)-N-Benzyl-2-acetamido-3-methoxy-propionamide; (2R)-2-acetamido-N-benzyl-3-methoxypropanamide	C13H18N2O3	C13H18N2O3	250.298	isocyclic		VPPJLAIAVCUEMN-GFCCVEGCSA-N				Identification(3687); Physical Data(91); Spectra(104); Bioactivity(429)	117	3595	0.505	2	5	8	67.43	4	2	[alpha]	1 g/100ml			dichloromethane	16.1	589	25	Page/Page column 9		Patent; PANDEY; US9284263; (2016); B1;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68582037&database=RX&origin=ReaxysOutput&ln=	
[H][C@](C)(O)C1=CC=CC=C1		2039798	https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2039798&database=RX&origin=ReaxysOutput&ln=	(6 of 3437)	1517-69-7	(R)-1-phenylethanol; 1-phenylethanol; (R)-1-phenylethan-1-ol; 1-phenylethan-1-ol; (1R)-1-phenylethanol; (R)-(+)-1-phenylethyl alcohol; (R)-phenylethanol	HOCH(CH3)C6H5	C8H10O	122.167	isocyclic		WAPNOHKVXSQRPX-SSDOTTSWSA-N				Identification(1378); Physical Data(350); Spectra(322); Bioactivity(176)	1761	3417	1.737	1	1	1	20.23	4	2	[alpha]	1.22 g/100ml	99.9		dichloromethane	49.3	589	25	supporting information		Article; Wu, Weilong; Liu, Shaodong; Duan, Meng; Tan, Xuefeng; Chen, Caiyou; Xie, Yun; Lan, Yu; Dong, Xiu-Qin; Zhang, Xumu; Organic Letters; vol. 18; 12; (2016); p. 2938 - 2941;	https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69128617&database=RX&origin=ReaxysOutput&ln=	
