idx,triple,E_au,E_rel_kcal_mol,rotation
0,1.07145993618694,-614.610891054,66.8655983238807,935.6
1,1.20902607730495,-614.488300654,143.792300227903,469.49
2,1.22257839471541,-614.707747695,6.08708753001387,337.56
3,1.20262190930014,-614.556704321,100.868315148743,309.2
4,1.18444598975688,-614.61800194,62.4034462500433,499.98
5,1.40938266295136,-614.774933391,-36.0726085669613,189.75
6,1.12089305954094,-614.837439687,-75.295934369945,388.13
7,1.21019559871441,-614.595368166,76.6063657728095,699.19
8,1.09593772101631,-614.457797732,162.933188812112,1419.02
9,1.03843625869675,-614.476424284,151.244841166592,1296.7
10,1.35468444859679,-614.801543931,-52.7709885223479,408.14
11,1.1827009729368,-614.588947983,80.6350948070968,421.24
12,1.04113201757976,-614.514351286,127.445268141605,947.23
13,1.10008818905152,-614.716512395,0.587150632995783,670.46
14,1.12146194335682,-614.834429905,-73.4072660670941,473.45
15,1.28919767640652,-614.607059686,69.2698200576098,629.71
16,1.16827853862012,-614.545191942,108.092448095039,409.37
17,1.11462017998449,-614.542199331,109.970341423629,534.25
18,1.0274094953288,-614.816747071,-62.3111109037728,212.59
19,1.2240330686218,-614.798741721,-51.0125737253022,400.39
20,1.13485594349694,-614.56454331,95.9492711613576,1074.51
21,1.10568573709932,-614.854098961,-85.7497953976528,539.02
22,1.18734758453961,-614.568487595,93.4741928810147,-43.94
23,1.23268955203269,-614.953466766,-148.10408671323,199.97
24,1.28903752373653,-614.665592517,32.5398832767414,404.02
25,1.23823457883811,-614.693588954,14.9718390948989,473.99
26,1.05473675443379,-614.426914844,182.312509861033,613.73
27,1.20213629184975,-614.832775833,-72.3693193464047,349.26
28,1.18335374481512,-614.850348136,-83.3961152019044,209.51
29,1.2509175785414,-614.569092103,93.0948580659111,467.52
30,1.11008853101742,-614.729774695,-7.7350752399736,743.15
31,1.22307028162283,-614.83424497,-73.2912175052485,459.25
32,1.27597601639427,-614.900477501,-114.852793033039,71
33,1.06175444763351,-614.709742196,4.8355182074958,1134.89
34,1.2718214915999,-614.771319114,-33.8046136066932,489.8
35,1.4641063155632,-614.905229882,-117.834959634351,201.73
36,1.07235740482181,-614.71564142,1.13369615524453,510.39
