run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
v1m1nrt7,lif8aeuy,jumping-sweep-11,1.106907844543457,0.0005,48,,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,64
aaj70auj,yqyy9zgs,ancient-sweep-49,1.119482398033142,0.0005,64,,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,32
1vsduq5f,mly7kccj,elated-sweep-62,0.3719390630722046,0.001,64,,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,gap,48
ug05gy2j,j8flw45y,exalted-sweep-60,1.9459151029586792,0.0005,64,,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,16
fxtd4uei,bozlc35j,graceful-sweep-24,0.3821024298667908,0.001,64,,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.0,True,vector,0.8,torchchem_v1,1e-05,50,3,gap,32
04uov6v0,2swidcb1,distinctive-sweep-59,1.0858899354934692,0.001,64,,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,32
2e0wn1rz,8so9j474,vocal-sweep-42,1.1023143529891968,0.001,64,,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,50,3,HOMO,16
x1rzlfzd,zy4w3ezs,honest-sweep-23,8.127105712890625,0.001,64,,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.05,True,vector_masked,0.8,torchchem_v1,1e-05,25,2,splitting,64
p5bp2u6z,xmn7nv76,mild-sweep-39,0.0278636030852794,0.001,48,,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.0,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,hirshfeld,16
3v18cjfp,r0ni4mgm,misunderstood-sweep-13,0.0259193480014801,0.001,48,,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.0,True,energy,0.8,torchchem_v1,0.0,10,3,hirshfeld,16
x7n6f6c0,ggcl5g6t,mild-sweep-49,7.932286739349365,0.001,64,,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.0,True,energy,0.8,torchchem_v1,1e-05,50,3,splitting,16
91g65162,nvz3xmao,stoic-sweep-22,1.8134418725967407,0.001,64,,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,16
