refcode,gap
ABISOV,0.07309
AFEKIG,0.09938
AFIROW,0.12991
AFUPUO,0.08632
AJIXUO,0.11634
AJOKOB,0.10917
ALAJIH,0.10297
AMEBOL,0.15309
APACAW,0.08841
AQIDIP,0.07626
ASAFOQ,0.13035
ASAMOW,0.05477
ASUTAL,0.10103
AVEREZ,0.07813
AWOMOP,0.09944
AYIKAU,0.10812
AYIKOI,0.14686
AYUNOZ,0.10647
AYUSIW,0.11691
BAKZEU,0.11381
BAWJER,0.12488
BAYPUP,0.11458
BECHOJ,0.04131
BEDMUU,0.08864
BESHAJ,0.08124
BEVBUB,0.08626
BILKEN,0.06199
BIRMOE,0.1121
BOKYIK,0.12332
BOLSAY,0.09163
BOVCOG,0.09212
BOVCUN,0.16849
BOZVIX,0.11077
BUJMIE,0.07724
CAMHEG,0.10815
CATLOB,0.09005
CATSIC,0.11136
CEKCAY,0.10199
CEKCIG,0.10008
CIDDAX,0.09356
CIGVEV,0.08017
CIRRUS,0.12625
CIYKOM,0.08064
COXFAY,0.1359
CUFKEV,0.09115
DACHAS,0.07603
DACRAB,0.05406
DAGCIA,0.11641
DAGNUX,0.09743
DANVAR,0.10882
DAPXAW,0.05724
DAQCIK,0.05307
DARBAB,0.11898
DASPOC,0.09466
DAXDOX,0.10088
DEGQOX,0.07197
DEHZEY,0.12358
DIFCED,0.13146
DIFDII,0.13555
DIGCII,0.1427
DITDES,0.09505
DOGQEX,0.0895
DOTROV,0.11804
DOWDUO,0.08622
DOZGOQ,0.12826
DOZVEV,0.12074
DUYZEE,0.09001
EBAHEX,0.12749
EBAXUD,0.07899
EBAYAK,0.07968
ECEKAA,0.04684
ECIPUE,0.08661
EDOCOP,0.10076
EDUGER,0.10415
EDUTOO,0.08791
EGAYAN,0.08152
EGENAH,0.09354
EHAQEK,0.09826
EJANAF,0.12787
EJAPAH,0.12811
EJITUN,0.13617
ELUNUV,0.06412
EQEWOO,0.10437
EQOSEK,0.10089
EQOZAM,0.07825
ETPNFL,0.00916
EVOTIU,0.12124
EWATAY,0.10462
EWATEC,0.10296
EXIQOR,0.05464
FAMRUJ,0.08526
FAMYID,0.08006
FAPROG,0.1023
FAPSEV,0.12791
FASCUA,0.07136
FEBGOJ,0.09632
FECTIT,0.06632
FELLAL,0.01463
FERMAS,0.10589
FERMIA,0.15748
FETROO,0.14425
FIFNOA,0.10711
FILFIR,0.09476
FOCFEK,0.08206
FOFYAD,0.10432
FOKDAM,0.15173
FOKDOB,0.09438
FONLIF,0.07749
FOQHID,0.10977
FOZYAW,0.14645
FUVXAX,0.12938
GABTUB,0.09791
GABVEN,0.10071
GAPJAI,0.08794
GAQXEE,0.07931
GEBTIT,0.0512
GEQXUW,0.10671
GIDMUD,0.11096
GIXZUL,0.10192
GIYBAU,0.1
GONGIC,0.07074
GOYCUS,0.12443
GUFRUU,0.11757
GUWNOD,0.09613
HACDAS,0.0954
HAMDUU,0.08946
HAMKAH,0.08951
HAMKEL,0.08945
HAVHOD,0.09179
HAXQUT,0.0863
HEHGIN,0.17148
HEQCIS,0.05597
HEQPEY,0.08528
HERXOS,0.09886
HIDLAI,0.12135
HIGPUK,0.08771
HIHPAR,0.10329
HIJHEP,0.08783
HIQBIS,0.10892
HIWJIH,0.17147
HIWJON,0.17141
HUTWID,0.11265
ICEGUU,0.04653
ICOLIX,0.10882
IDAMEH,0.17578
IDUCEP,0.06791
IFIWOK,0.15016
IGOCEN,0.11553
IGOCIR,0.11698
IGOPIF,0.08897
IHOFAM,0.05572
IJEGEL,0.07817
IJIPIC,0.05971
ILEGUD,0.05945
INOYUG,0.06086
IRUMOY,0.13693
ISUYAW,0.11277
ITACAH,0.07429
ITADOY,0.10444
IVAJOG,0.08275
IVEHUM,0.10189
IVIYIW,0.14013
IYEZAO,0.11062
IZOTUN,0.10283
JEBHII,0.10157
JEDMEL,0.08055
JEGPUJ,0.12107
JINRUW,0.07917
JIVNOR,0.08949
JIVPUZ,0.08954
JIVRIP,0.08954
JIVTAJ,0.08951
JIVVEP,0.08946
JOTYEZ,0.09469
JOWNAK,0.09816
JUWKIX,0.12501
JUYFAM,0.09432
KACDID,0.10606
KAFWIY,0.10035
KAHSUH,0.08012
KAQHIW,0.09726
KAQLOE,0.06223
KATDOB,0.11095
KATPIH,0.0968
KATZAG,0.10722
KEFJOW,0.15428
KEHKUE,0.0962
KEJLER,0.11057
KETTEL,0.13162
KIDKEO,0.11245
KIHPUO,0.13089
KILPUS,0.09735
KILQON,0.09728
KIMFOD,0.11325
KIMVEK,0.10884
KISQAG,0.10485
KIZHOS,0.0928
KOFXAH,0.08033
KOJGIC,0.09889
LEBDAZ,0.12158
LECTOE,0.06784
LEGBEE,0.0264
LEJKAO,0.01146
LEPYIQ,0.10598
LIBTIB,0.1393
LIYGUW,0.04346
LOGHIA,0.09664
LOHCUJ,0.09814
LOLTOW,0.09101
LUBTOT,0.10834
LULHIK,0.12415
LULXOF,0.07983
LURFIN,0.08942
LUWSUS,0.07304
LUZCOA,0.10532
MAFHOS,0.10968
MAFSAQ,0.1068
MAMKAP,0.10953
MANTOL,0.08468
MAWLUU,0.13598
MAXWAK,0.08808
MAXYIU,0.13389
MAYMUX,0.09731
MIHWUY,0.10112
MIKDUI,0.10711
MIVRUG,0.09047
MIVTAO,0.10546
MIYZAY,0.11437
MOLXAO,0.10158
MURCIN,0.12617
MUXKEX,0.10926
MUYMEZ,0.08076
NASZOY,0.06775
NEKYEH,0.08235
NESJAW,0.08824
NESJAX,0.07846
NESJEB,0.07426
NESJIF,0.07235
NEXJEG,0.09968
NIBCIM,0.0913
NIYWAW,0.08004
NIYZIH,0.11781
NIZJEN,0.13193
NOBYOU,0.05064
NOXGUE,0.1688
NOXJER,0.14503
NUDXUG,0.10275
NUPFAH,0.09245
NUQTAW,0.11264
ODIRID,0.07782
ODIRUP,0.07899
OEBPNI,0.07261
OFEPOH,0.09582
OGAYOM,0.14637
OGUWUJ,0.12076
OJEMEW,0.06683
OLUNOZ,0.17798
OLUPIV,0.12684
OLUPOB,0.12609
OLUQES,0.12342
OLUXEZ,0.06895
ONABOW,0.08087
ONACIR,0.08023
ONIBAQ,0.0818
OPUHIS,0.08822
OTEVAL,0.09121
OTEVOZ,0.09255
OTIDUS,0.1118
OXIPIV,0.09464
OXONIZ,0.10951
OYOBUB,0.09304
OZAHAA,0.10412
PAFFIN,0.14287
PAHTAW,0.09589
PAHTEA,0.12966
PALZOS,0.0905
PANVUY,0.134
PAQPUV,0.05177
PAYSUG,0.14311
PAYTIV,0.13557
PEHJAQ,0.14307
PEHKIZ,0.10582
PEKSEE,0.09795
PEVHUV,0.11648
PIVNOZ,0.06748
PIWTOF,0.10822
POLPEN,0.0855
PUPJAN,0.07657
PUVLEY,0.13476
PUVLIC,0.09958
QAJRAX,0.09375
QAKHUF,0.09271
QAKJER,0.09393
QATLII,0.09232
QAWKAC,0.09054
QAWVAO,0.10907
QAXLUY,0.09943
QAYROX,0.06571
QEJVAE,0.09642
QEJVOQ,0.08574
QEKRIK,0.10116
QEWZUN,0.15827
QEYTOG,0.1
QEYYEZ,0.09395
QIDBEM,0.11058
QIDLUM,0.10902
QIFRAA,0.13638
QIHWUB,0.12939
QIYYED,0.06583
QOBFOF,0.08542
QOCLAY,0.08424
QOCZUD,0.10941
QONHAD,0.11181
QOPKAJ,0.115
QUBXUI,0.14038
QULFIN,0.05429
QUSZOV,0.08617
RAXDUR,0.09877
RAYQOA,0.09481
REMXEO,0.10549
RENJUQ,0.08963
RESNEK,0.13075
REVRAN,0.08767
REYFEG,0.04051
REYVOH,0.07973
RIBXAE,0.07858
RIPJEF,0.12101
RIPPUC,0.1685
RITKEK,0.10499
RIVNUH,0.11966
RIVPET,0.11303
RIVWID,0.11622
RIVZUU,0.09941
RIZRIC,0.12916
RUCKOQ,0.09643
RUDMOT,0.1193
RUKMEP,0.07722
RULKOZ,0.12128
RUTNUP,0.09228
RUTPOL,0.00754
SACLUG,0.08094
SAFHOY,0.098
SAJTUT,0.07207
SAJVEF,0.07034
SAKBUC,0.06736
SALHAR,0.10487
SALVAD,0.19627
SAQXIU,0.09985
SASZET,0.09114
SEDKEU,0.0914
SEDXEH,0.09391
SEDYEI,0.10552
SEMMEC,0.08944
SEMMOM,0.08955
SEMNAZ,0.08949
SEMNON,0.08953
SEMPUV,0.08944
SERDOJ,0.04606
SIGDET,0.10708
SILCEY,0.11719
SINLOQ,0.09774
SITTEV,0.06483
