run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
rs7dz0uj,m476uld3,drawn-sweep-52,0.06222913088255807,0.0005,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.0,True,vector_masked,0.798,torchchem_v1,0.001,10,3,Metal_q,32
i89k1ug9,etptdc25,breezy-sweep-29,25.048729049792495,0.001,64,,True,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.1,True,vector_masked,0.798,torchchem_v1,1e-05,10,3,Polarizability,48
6jwskmp2,b0vyfb7s,smart-sweep-56,0.021966320283683057,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.1,True,energy,0.798,torchchem_v1,1e-05,25,2,HOMO,64
zdrpip1e,r3yu25cd,silvery-sweep-57,0.02134772922869357,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.1,True,vector_masked,0.798,torchchem_v1,1e-05,50,3,HOMO,48
b1srwk2o,9vpar760,lemon-sweep-6,0.025102163488606503,0.001,32,,True,123,5.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.05,True,vector,0.798,torchchem_v1,1e-05,25,3,LUMO,32
qehg8s35,9u3vmnje,summer-sweep-19,0.010491266073806469,0.001,48,,True,123,5.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.05,True,vector_masked,0.798,torchchem_v1,1e-05,10,3,Dispersion_E,64
vvs0xzp0,y0801cf8,sparkling-sweep-60,0.010812670840612854,0.0005,64,,True,123,5.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,both,0.05,True,vector,0.798,torchchem_v1,1e-05,50,3,gap,32
f23gzjh8,yuxim5ea,playful-sweep-27,0.06884658753830084,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.1,True,energy,0.798,torchchem_v1,0.0001,50,3,Metal_q,32
ww00peu8,zgc4pfpl,giddy-sweep-52,4.00336832742729,0.001,48,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,both,0.0,True,energy,0.798,torchchem_v1,1e-05,50,3,Polarizability,32
rdqaqo1e,k3l7chzy,fallen-sweep-61,0.0036959525393299546,0.001,32,,True,123,5.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.0,True,vector,0.798,torchchem_v1,1e-05,25,3,Dispersion_E,16
zdnco0is,o4299m9d,twilight-sweep-52,1.9631323686558293,0.001,64,,True,123,10.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,node,0.1,True,vector_masked,0.798,torchchem_v1,1e-05,10,3,dipole_moment_Debye,32
86ok02gc,widnyuqp,dazzling-sweep-50,2.1927070115330807,0.001,64,,True,123,5.0,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,both,0.1,True,energy,0.798,torchchem_v1,1e-05,50,2,dipole_moment_Debye,16
ei38t5vr,umkd56de,legendary-sweep-29,0.02602430269264677,0.001,16,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,both,0.1,True,vector_masked,0.798,torchchem_v1,1e-05,10,3,LUMO,32
fcc5nd8a,bwgml2b7,worthy-sweep-15,0.011303795519930855,0.0005,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmSCO,torchchem_v1,xtb,test:data/kulik/tmSCO-splits/tmSCO_0_test_indices.npy,both,0.05,True,vector_masked,0.798,torchchem_v1,0.0,50,3,gap,64
