idx,rot633,rot589,rot355,rot589_sign,rot589_abs,rot589_power,rot589_power_abs,rot633_sign,rot633_abs,rot633_power,rot633_power_abs,rot355_sign,rot355_abs,rot355_power,rot355_power_abs,point_group,point_group_noH
005049,-14.99,-12.5,-4979.91,-1.0,12.5,-13.513,13.513,-1.0,14.99,-16.204789599999998,16.204789599999998,-1.0,4979.91,-5383.481906399999,5383.481906399999,C1,C1
072010,-105.02,-123.84,-465.86,-1.0,123.84,-151.2916128,151.2916128,-1.0,105.02,-128.2997834,128.2997834,-1.0,465.86,-569.1271862,569.1271862,C1,C1
130188,61.61,72.63,278.57,1.0,72.63,90.1360089,90.1360089,1.0,61.61,76.4598583,76.4598583,1.0,278.57,345.7137271,345.7137271,C1,C1
019995,44.72,52.2,168.78,1.0,52.2,56.45116800000001,56.45116800000001,1.0,44.72,48.3619968,48.3619968,1.0,168.78,182.5254432,182.5254432,C1,C1
053722,36.38,45.62,725.14,1.0,45.62,55.243539,55.243539,1.0,36.38,44.054361,44.054361,1.0,725.14,878.1082829999999,878.1082829999999,C1,C1
075220,-213.21,-250.16,-889.95,-1.0,250.16,-298.1081672,298.1081672,-1.0,213.21,-254.0759607,254.0759607,-1.0,889.95,-1060.5267165,1060.5267165,C1,C1
070139,-56.53,-71.46,-645.6,-1.0,71.46,-89.4186126,89.4186126,-1.0,56.53,-70.7365543,70.7365543,-1.0,645.6,-807.845736,807.845736,C1,C1
059637,-108.12,-127.81,-499.6,-1.0,127.81,-163.8153551,163.8153551,-1.0,108.12,-138.5784852,138.5784852,-1.0,499.6,-640.342316,640.342316,C1,C1
060316,-86.76,-101.49,-353.4,-1.0,101.49,-129.0414903,129.0414903,-1.0,86.76,-110.31273720000002,110.31273720000002,-1.0,353.4,-449.337498,449.337498,C1,C1
012504,314.0,378.9,2142.18,1.0,378.9,417.381084,417.381084,1.0,314.0,345.88984000000005,345.88984000000005,1.0,2142.18,2359.7398008,2359.7398008,C1,C1
115595,80.58,93.39,272.61,1.0,93.39,119.73998849999994,119.73998849999994,1.0,80.58,103.31564699999996,103.31564699999996,1.0,272.61,349.52691149999987,349.52691149999987,C1,C1
074567,531.89,646.01,4568.02,1.0,646.01,789.2110367,789.2110367,1.0,531.89,649.7940563,649.7940563,1.0,4568.02,5580.6129934,5580.6129934,C1,C1
114470,28.28,31.67,38.04,1.0,31.67,39.64165570000001,39.64165570000001,1.0,28.28,35.398358800000004,35.398358800000004,1.0,38.04,47.615048400000006,47.615048400000006,C1,C1
077791,-282.26,-334.44,-1353.68,-1.0,334.44,-411.745806,411.745806,-1.0,282.26,-347.504399,347.504399,-1.0,1353.68,-1666.583132,1666.583132,C1,C1
059963,98.69,115.19,370.66,1.0,115.19,151.10048250000003,151.10048250000003,1.0,98.69,129.45660750000002,129.45660750000002,1.0,370.66,486.21325500000006,486.21325500000006,C1,C1
061375,-33.31,-39.7,-573.06,-1.0,39.7,-49.675419000000005,49.675419000000005,-1.0,33.31,-41.6798037,41.6798037,-1.0,573.06,-717.0527862,717.0527862,C1,C1
043039,-155.85,-188.73,-1184.86,-1.0,188.73,-228.5425935,228.5425935,-1.0,155.85,-188.7265575,188.7265575,-1.0,1184.86,-1434.8062169999998,1434.8062169999998,C1,C1
089424,-370.75,-437.7,-1686.22,-1.0,437.7,-539.242023,539.242023,-1.0,370.75,-456.7602925,456.7602925,-1.0,1686.22,-2077.4061778,2077.4061778,C1,C1
013174,3.77,4.56,22.98,1.0,4.56,5.113219199999999,5.113219199999999,1.0,3.77,4.2273764,4.2273764,1.0,22.98,25.7679336,25.7679336,C1,C1
025740,-39.73,-46.09,-139.12,-1.0,46.09,-58.5817727,58.5817727,-1.0,39.73,-50.4980219,50.4980219,-1.0,139.12,-176.82569360000002,176.82569360000002,C1,C1
050950,-108.27,-133.47,-1197.19,-1.0,133.47,-161.6842233,161.6842233,-1.0,108.27,-131.15719529999998,131.15719529999998,-1.0,1197.19,-1450.2639941000002,1450.2639941000002,C1,C1
074104,-87.5,-121.84,-3655.01,-1.0,121.84,-150.052052,150.052052,-1.0,87.5,-107.760625,107.760625,-1.0,3655.01,-4501.327565500001,4501.327565500001,C1,C1
086968,-17.34,-19.85,-49.24,-1.0,19.85,-24.2509435,24.2509435,-1.0,17.34,-21.184451400000004,21.184451400000004,-1.0,49.24,-60.15700040000001,60.15700040000001,C1,C1
010573,135.55,158.49,526.86,1.0,158.49,169.76814840000003,169.76814840000003,1.0,135.55,145.195738,145.195738,1.0,526.86,564.3513576,564.3513576,C1,C1
087956,4.17,4.13,-27.92,1.0,4.13,5.1287579,5.1287579,1.0,4.17,5.1784311,5.1784311,-1.0,27.92,-34.671893600000004,34.671893600000004,C1,C1
100107,26.51,30.61,84.14,1.0,30.61,39.24661149999998,39.24661149999998,1.0,26.51,33.98979649999999,33.98979649999999,1.0,84.14,107.88010099999995,107.88010099999995,C1,C1
000132,298.93,360.69,2386.2,1.0,360.69,267.1955451,267.1955451,1.0,298.93,221.44435470000005,221.44435470000005,1.0,2386.2,1767.6730980000002,1767.6730980000002,C1,C1
060793,-167.04,-201.63,-1192.4,-1.0,201.63,-260.33457450000003,260.33457450000003,-1.0,167.04,-215.673696,215.673696,-1.0,1192.4,-1539.5672600000005,1539.5672600000005,C1,C1
100874,-97.54,-113.49,-349.88,-1.0,113.49,-143.2277847,143.2277847,-1.0,97.54,-123.0984062,123.0984062,-1.0,349.88,-441.5590564,441.5590564,C1,C1
030122,9.55,10.88,19.79,1.0,10.88,13.5067584,13.5067584,1.0,9.55,11.8556565,11.8556565,1.0,19.79,24.5678997,24.5678997,C1,C1
021493,-15.23,-18.51,-111.22,-1.0,18.51,-20.931848400000003,20.931848400000003,-1.0,15.23,-17.222693200000002,17.222693200000002,-1.0,111.22,-125.7720248,125.7720248,C1,C1
123961,-26.33,-31.27,-132.97,-1.0,31.27,-40.0528049,40.0528049,-1.0,26.33,-33.725307099999995,33.725307099999995,-1.0,132.97,-170.3172839,170.3172839,C2,C2
127325,80.14,94.75,373.66,1.0,94.75,115.7191225,115.7191225,1.0,80.14,97.8757834,97.8757834,1.0,373.66,456.3546946,456.3546946,C1,C1
081937,27.9,33.64,160.82,1.0,33.64,42.1075244,42.1075244,1.0,27.9,34.922709,34.922709,1.0,160.82,201.3000022,201.3000022,C1,C1
070788,-15.49,-18.54,-79.34,-1.0,18.54,-22.6579194,22.6579194,-1.0,15.49,-18.9304839,18.9304839,-1.0,79.34,-96.96220739999998,96.96220739999998,C1,C1
100294,36.37,42.15,123.92,1.0,42.15,55.7235645,55.7235645,1.0,36.37,48.0822311,48.0822311,1.0,123.92,163.8259576,163.8259576,C1,C1
048476,17.75,19.32,-157.59,1.0,19.32,24.365418,24.365418,1.0,17.75,22.3854125,22.3854125,-1.0,157.59,-198.7446285,198.7446285,C1,C1
091320,37.21,43.12,126.16,1.0,43.12,53.5666824,53.5666824,1.0,37.21,46.2248667,46.2248667,1.0,126.16,156.7247832,156.7247832,C1,C1
014123,-117.53,-137.87,-478.0,-1.0,137.87,-154.6515364,154.6515364,-1.0,117.53,-131.8357516,131.8357516,-1.0,478.0,-536.18216,536.18216,C1,C1
017365,-183.99,-216.59,-803.13,-1.0,216.59,-242.8580352,242.8580352,-1.0,183.99,-206.3043072,206.3043072,-1.0,803.13,-900.5336063999999,900.5336063999999,C1,C1
078157,30.58,33.9,-77.07,1.0,33.9,42.751629,42.751629,1.0,30.58,38.5647438,38.5647438,-1.0,77.07,-97.1937477,97.1937477,C1,C1
100796,15.23,17.76,57.23,1.0,17.76,23.6469072,23.6469072,1.0,15.23,20.2782881,20.2782881,1.0,57.23,76.2000281,76.2000281,C1,C1
054936,-17.8,-19.86,44.07,-1.0,19.86,-25.2505998,25.2505998,-1.0,17.8,-22.631454,22.631454,1.0,44.07,56.0319201,56.0319201,C1,C1
061334,-116.63,-137.21,-557.13,-1.0,137.21,-167.5649683,167.5649683,-1.0,116.63,-142.4320549,142.4320549,-1.0,557.13,-680.3838699,680.3838699,C1,C1
077553,-55.73,-69.1,-769.58,-1.0,69.1,-87.17310499999999,87.17310499999999,-1.0,55.73,-70.3061815,70.3061815,-1.0,769.58,-970.863649,970.863649,C1,C1
088751,-38.36,-44.57,-134.67,-1.0,44.57,-55.34836310000001,55.34836310000001,-1.0,38.36,-47.6365988,47.6365988,-1.0,134.67,-167.23724610000002,167.23724610000002,C1,C1
066933,56.56,65.69,197.55,1.0,65.69,80.9294231,80.9294231,1.0,56.56,69.6813544,69.6813544,1.0,197.55,243.37962450000003,243.37962450000003,C1,C1
119087,74.5,87.17,290.17,1.0,87.17,113.4840079,113.4840079,1.0,74.5,96.989315,96.989315,1.0,290.17,377.7636179,377.7636179,C1,C1
078265,45.6,52.96,156.32,1.0,52.96,65.7673168,65.7673168,1.0,45.6,56.627448,56.627448,1.0,156.32,194.1228656,194.1228656,C1,C1
001595,-26.18,-30.9,-116.9,-1.0,30.9,-30.314445,30.314445,-1.0,26.18,-25.683889,25.683889,-1.0,116.9,-114.684745,114.684745,C1,C1
083694,-52.44,-59.91,680.12,-1.0,59.91,-76.17137129999999,76.17137129999999,-1.0,52.44,-66.6737892,66.6737892,1.0,680.12,864.7249716,864.7249716,C1,C1
051549,472.48,568.58,3626.2,1.0,568.58,722.9096694,722.9096694,1.0,472.48,600.7252464000001,600.7252464000001,1.0,3626.2,4610.459465999999,4610.459465999999,C1,C1
014344,-103.07,-119.56,-331.48,-1.0,119.56,-131.7025136,131.7025136,-1.0,103.07,-113.5377892,113.5377892,-1.0,331.48,-365.1451088,365.1451088,C1,C1
094515,101.53,117.05,81.95,1.0,117.05,145.3046995,145.3046995,1.0,101.53,126.0383267,126.0383267,1.0,81.95,101.7319105,101.7319105,C1,C1
123153,19.98,23.14,67.16,1.0,23.14,31.048095000000004,31.048095000000004,1.0,19.98,26.808165,26.808165,1.0,67.16,90.11193000000002,90.11193000000002,C1,C1
073222,139.48,163.58,566.03,1.0,163.58,207.9805194,207.9805194,1.0,139.48,177.33905639999998,177.33905639999998,1.0,566.03,719.6675229,719.6675229,C1,C1
093515,27.38,32.26,117.83,1.0,32.26,41.66669340000001,41.66669340000001,1.0,27.38,35.3637342,35.3637342,1.0,117.83,152.18804970000002,152.18804970000002,C1,C1
090874,60.37,70.47,227.77,1.0,70.47,87.5117601,87.5117601,1.0,60.37,74.9692771,74.9692771,1.0,227.77,282.85161910000005,282.85161910000005,C1,C1
130131,-39.48,-47.21,-236.22,-1.0,47.21,-60.007214700000006,60.007214700000006,-1.0,39.48,-50.18184359999999,50.18184359999999,-1.0,236.22,-300.2521554,300.2521554,C1,C1
116235,28.72,31.92,17.01,1.0,31.92,41.22755280000001,41.22755280000001,1.0,28.72,37.0944648,37.0944648,1.0,17.01,21.96994590000001,21.96994590000001,C1,C1
125137,9.83,12.05,78.0,1.0,12.05,15.4344835,15.4344835,1.0,9.83,12.5909521,12.5909521,1.0,78.0,99.90786,99.90786,C1,C1
022890,65.51,78.25,407.6,1.0,78.25,99.4925275,99.4925275,1.0,65.51,83.2939997,83.2939997,1.0,407.6,518.2511720000001,518.2511720000001,C1,C1
098536,-236.87,-282.62,-1361.95,-1.0,282.62,-350.96599460000004,350.96599460000004,-1.0,236.87,-294.1522721,294.1522721,-1.0,1361.95,-1691.3103685,1691.3103685,C1,C1
046887,226.55,274.9,1648.26,1.0,274.9,338.553095,338.553095,1.0,226.55,279.0076525,279.0076525,1.0,1648.26,2029.914603,2029.914603,C1,C1
051235,304.47,369.49,2717.12,1.0,369.49,466.13010950000006,466.13010950000006,1.0,304.47,384.1041285,384.1041285,1.0,2717.12,3427.782736,3427.782736,C1,C1
103728,156.59,183.65,701.41,1.0,183.65,239.0076195,239.0076195,1.0,156.59,203.7909237,203.7909237,1.0,701.41,912.8360163,912.8360163,C1,C1
113578,76.75,89.03,263.39,1.0,89.03,112.35496969999998,112.35496969999998,1.0,76.75,96.85773249999998,96.85773249999998,1.0,263.39,332.39554609999993,332.39554609999993,C1,C1
005751,28.6,33.2,100.32,1.0,33.2,36.55851200000001,36.55851200000001,1.0,28.6,31.493176,31.493176,1.0,100.32,110.46837119999998,110.46837119999998,C1,C1
033881,-113.66,-133.74,-484.62,-1.0,133.74,-159.37394580000003,159.37394580000003,-1.0,113.66,-135.4452122,135.4452122,-1.0,484.62,-577.5071154000001,577.5071154000001,C1,C1
027126,-106.41,-124.57,-427.96,-1.0,124.57,-158.3272243,158.3272243,-1.0,106.41,-135.2460459,135.2460459,-1.0,427.96,-543.9328804,543.9328804,C1,C1
006915,-164.79,-191.86,-598.2,-1.0,191.86,-211.34530160000003,211.34530160000003,-1.0,164.79,-181.5260724,181.5260724,-1.0,598.2,-658.9531920000002,658.9531920000002,C1,C1
043853,-86.72,-109.26,-1873.2,-1.0,109.26,-134.559153,134.559153,-1.0,86.72,-106.800016,106.800016,-1.0,1873.2,-2306.93946,2306.93946,C1,C1
015856,52.17,60.9,194.55,1.0,60.9,68.28838799999998,68.28838799999998,1.0,52.17,58.4992644,58.4992644,1.0,194.55,218.152806,218.152806,C1,C1
054192,-157.0,-189.47,-1134.3,-1.0,189.47,-242.76222690000003,242.76222690000003,-1.0,157.0,-201.15939000000003,201.15939000000003,-1.0,1134.3,-1453.344561,1453.344561,C1,C1
126035,42.78,49.67,141.19,1.0,49.67,61.6618281,61.6618281,1.0,42.78,53.10837540000001,53.10837540000001,1.0,141.19,175.2775017,175.2775017,C1,C1
113102,4.82,1.15,-440.95,1.0,1.15,1.4626504999999996,1.4626504999999996,1.0,4.82,6.1304134,6.1304134,-1.0,440.95,-560.8310765,560.8310765,C1,C1
002155,104.38,128.7,1082.21,1.0,128.7,126.312615,126.312615,1.0,104.38,102.443751,102.443751,1.0,1082.21,1062.1350045,1062.1350045,C1,C1
