run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
1fzdd96j,f8eeknq4,ancient-sweep-1,0.4317752514795606,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,vector_masked,0.8,0.0001,25,3,gap,16
as2utjxn,f8eeknq4,likely-sweep-2,0.4654215070469511,5e-05,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,vector_masked,0.8,0.0,10,3,gap,64
cgvmiwl5,f8eeknq4,gentle-sweep-3,0.4810948345067031,5e-05,16,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,25,2,gap,16
88ycz4nu,f8eeknq4,young-sweep-4,0.4723541766590409,5e-05,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,vector_masked,0.8,0.001,25,2,gap,32
bllp5inu,f8eeknq4,youthful-sweep-5,0.48258317196064626,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,0.001,50,3,gap,48
m3ml9w7p,f8eeknq4,blooming-sweep-6,0.45025084918561314,0.0001,32,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,0.001,25,2,gap,48
cisomcc0,f8eeknq4,apricot-sweep-7,0.44097131736729095,0.0001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,1e-05,25,3,gap,16
i7zrj7g4,f8eeknq4,vocal-sweep-8,0.4452879045953889,0.001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector_masked,0.8,0.0,25,3,gap,16
i012dueg,f8eeknq4,dandy-sweep-9,0.4733571268191906,0.0005,32,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,0.001,25,2,gap,16
9am3339p,f8eeknq4,kind-sweep-10,0.46551828047670274,5e-05,32,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector_masked,0.8,0.0001,50,3,gap,16
rlhwd9dw,f8eeknq4,amber-sweep-11,0.4604070743967753,0.0005,32,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,0.001,50,2,gap,64
1oancddp,f8eeknq4,genial-sweep-12,0.4778111982901691,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,0.001,25,3,gap,48
