run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
xgoz4lpw,fcgcomyp,fragrant-sweep-1,3.0212342035448665,5e-05,16,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,0.0001,10,2,dipole_moment_Debye,16
aewhbzqi,fcgcomyp,misunderstood-sweep-4,2.7044377143301257,0.0005,16,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,50,3,dipole_moment_Debye,64
tdp440je,fcgcomyp,legendary-sweep-5,3.0359503443813978,0.0001,16,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,0.001,50,2,dipole_moment_Debye,48
gj53wc7h,fcgcomyp,dulcet-sweep-6,2.581208324418852,0.001,16,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,1e-05,25,2,dipole_moment_Debye,48
7s41amwy,fcgcomyp,winter-sweep-7,2.664437878111277,0.001,16,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,50,2,dipole_moment_Debye,48
wkkkfhjq,fcgcomyp,swept-sweep-8,2.215564459703207,0.001,32,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,1e-05,25,3,dipole_moment_Debye,48
sbl7epnx,fcgcomyp,legendary-sweep-9,2.2430438098581735,0.001,16,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,1e-05,25,3,dipole_moment_Debye,48
t23kx241,fcgcomyp,breezy-sweep-10,2.3744108806360495,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,1e-05,25,3,dipole_moment_Debye,48
d5mkofuy,fcgcomyp,autumn-sweep-11,2.1275235154552563,0.001,32,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,1e-05,10,3,dipole_moment_Debye,64
2em5hdcz,fcgcomyp,pretty-sweep-12,2.781979591801582,0.001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,vector_masked,0.8,1e-05,10,3,dipole_moment_Debye,64
