run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
ujwh5pfm,gaulwrnx,atomic-sweep-1,0.014319483317556414,0.0005,64,,True,123,5.0,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.0,True,energy,0.8,torchchem_v1,0.0,10,3,Metal_q,16
etd73e9y,dugqthqa,young-sweep-38,0.009977649135329386,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.05,True,vector,0.8,torchchem_v1,1e-05,50,3,LUMO,64
chvjydgv,gvjh3l0j,resilient-sweep-54,0.010740665932038224,0.0005,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.05,True,vector_masked,0.8,torchchem_v1,1e-05,25,3,HOMO,64
1x0k9x3y,90febnc0,hearty-sweep-34,21.800602914743312,0.001,32,,True,123,5.0,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.0,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,Polarizability,64
uqsbnfzx,twvaslwf,charmed-sweep-53,1.5147706104055745,0.001,32,,True,123,5.0,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.0,True,energy,0.8,torchchem_v1,0.0,25,2,Polarizability,32
xwu2n4qu,pgcyrybb,generous-sweep-60,0.00857143695170843,0.001,48,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.05,True,vector_masked,0.8,torchchem_v1,1e-05,25,3,gap,64
bvs8aunk,xw1k427a,fine-sweep-16,1.4370694901069332,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.05,True,vector,0.8,torchchem_v1,1e-05,50,3,dipole_moment_Debye,64
61jyx13p,f8etck0p,kind-sweep-15,1.4895820998612244,0.001,32,,True,123,5.0,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,both,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,dipole_moment_Debye,16
2tsm57x8,bi44o9jj,super-sweep-34,0.01820885995252297,0.0005,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,both,0.0,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,Metal_q,32
cmg6iejm,nk6ucwpv,balmy-sweep-63,0.0093166019810641,0.0005,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,both,0.0,True,vector,0.8,torchchem_v1,1e-05,50,3,HOMO,32
nnlb8bj7,aw1fs8em,pious-sweep-17,0.0014359000457278468,0.0005,64,,True,123,5.0,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.0,True,vector,0.8,torchchem_v1,1e-05,50,3,Dispersion_E,64
h8146q7q,yidr9jij,fiery-sweep-14,0.012595415884237302,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,both,0.0,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,LUMO,64
jigwnjmn,sy9rm9tx,silver-sweep-22,0.007622283265102055,0.001,64,,True,123,2.5,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,node,0.05,True,energy,0.8,torchchem_v1,1e-05,25,3,gap,64
ej61o3c5,uuq2lg3j,wandering-sweep-59,0.008647197855215357,0.0005,48,,True,123,5.0,data/kulik/dataloader_kulik.py:tmPHOTO,torchchem_v1,xtb,test:data/kulik/tmPHOTO-splits/tmPHOTO_0_test_indices.npy,both,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,Dispersion_E,32
