refcode,gap
ABEDAN,2.9101
ABOTNI,2.1507
ADERAF,2.7591
ADIGEB,1.4069
AETSFE,2.0707
AFOSUM,4.0499
AGAMIH,3.5708
AGIDEC,3.7715
AGXICO,2.3206
AHABER,2.5633
AHABIV,2.8909
AHUCUE,2.1102
AJAFEX,3.6546
AJALAZ,2.6081
ALALAA,1.7392
AMATEQ,4.0883
AQUGIF,2.7079
AREJUD,3.1834
ARIMUJ,2.9555
AVOKAX,3.2188
AVUCUP,2.5807
BABCAK,2.21
BABPAX,3.0782
BAHDAS,3.6659
BAJJEB,2.5857
BAJVUE,1.943
BAMCOM,2.5077
BATSIY,2.5638
BAVNAN,3.8971
BEJDUS,2.0986
BEMWUM,5.283
BEPRET,2.0781
BIBDOG,2.3465
BIKDAA,3.0652
BINJOZ,3.7311
BIWPED,2.5571
BOFGOS,3.5211
BONGEQ,2.8941
BUCRAS,1.6388
BUJPIH,1.8586
BUSMOR,3.708
CADHOE,3.5237
CAHGAW,1.7291
CETJIU,2.594
CEXLUN,3.5579
CEZYUC,3.5948
CIHJEJ,2.9421
CIMBUV,4.6207
CIMGOU,4.5745
CIMHEL,4.6344
CMPHSC,3.5585
COETDS10,3.4341
COIMAC10,3.5852
COPCAM,2.6326
CORHUN,2.1223
CORSUA,1.7071
CPTCFE,3.8216
CUCQIB,2.9904
CUDKAN,3.4592
CUPCEV,2.5039
CUVGOP01,1.9074
CUXREV,2.7275
CUZWUR,1.4697
DABPOM,1.5971
DADJEX,2.343
DAGFAT,1.9099
DAXPEY,4.4901
DAXPOI,2.8022
DECKED,2.3637
DEKFAD,3.3288
DIDMEK,2.3116
DIFKUY,2.3468
DIJJIR,3.2417
DIRPOJ,2.1929
DOFZAA,3.6611
DOGHOY,1.0576
DOQWUC,2.5599
DOVYES,3.2325
DPBPCR,2.0874
DUFLEW,1.8319
DUSSAL,2.2983
DUWWEY,3.074
DUXWAW,3.1373
EAIMCO,2.7407
EAMNCR10,3.8394
ECBIMA10,3.799
ECOPAO,2.3158
EDECEX,1.72
EDEZEU,2.478
EGEYIA,2.3324
EGUZUB,3.9502
EHIJEM,3.3774
EHIWIC,4.1173
EJEVEV,2.1159
EQEFAI,2.5141
EQIVIJ,2.8177
ERIQIG,2.0711
ESUYUM,0.7286
ETAKIT,2.3439
EVOJEE,4.1617
EWOBEX,1.1649
EWUSEW,2.9374
EXUKEP,2.297
EYITAJ,2.4479
FAJHUX,3.3199
FAVZUY,3.3971
FAZTEG,3.8531
FEHLIO,3.7511
FEHNOV,2.6315
FERWEH,1.3984
FEVNAW,3.0955
FEWYIS,2.4193
FEZXUD,4.4607
FIGMEQ,3.9033
FIMPIB,2.8659
FIPWEG,4.0068
FOGQOI,2.4129
FOMPUU,1.0207
FOQBOC,1.8001
FOQNOP,4.78
FOSKEF,2.6889
FOTZET,4.3372
FUMKIH,2.5542
FUNHUS,2.4318
FURPEO,1.5815
GADTIS,1.9921
GAHJEG,3.956
GAMZEA,2.6443
GARQIB,1.2797
GAVXAC,2.6355
GAYXEJ,4.0083
GEGBUQ,2.583
GENQAS,2.0701
GEZGIE,2.3628
GITHEY,2.0145
GITYOY,2.3821
GOCDEH,3.0774
GOQZIX,1.7047
GOVDOK,3.947
GOXBOK,2.8693
GUTXEB,2.3069
GUTXOL,2.3097
GUWWAW,2.4093
GUZTIH,2.5311
HABRAG,3.0383
HASJEQ,3.0621
HAVRII,2.4244
HEBMOQ,3.526
HEQZEI,2.6367
HERHAN,3.0853
HERTII,3.4038
HESNAX,2.6204
HETLEX,2.3292
HINVUY,2.765
HIPLAU,2.7725
HIPLEY,2.8993
HITHOI,1.9681
HIYRUE,2.0212
HOCREX,2.794
HOGHEQ,2.0394
HOHBUB,2.2581
HOMKUP,2.5968
HONGAV,2.4397
HONZIT,2.6983
HOSRUD,2.2368
HOTXIX,2.745
HUBLEW,1.9117
HUMZEW,2.7916
HUWTIF,3.156
HUXWAZ,2.5586
IGIMIU,3.5226
IJEZIJ,3.9516
IJIGUD,2.6285
IJUDAV,1.8125
IKURAI,3.067
ILIJUK,0.7982
IMETNI01,1.9946
IMUCAX,2.8916
INAZED,2.7467
INIHAP,2.3886
INILOI,2.5525
IPIYEM,2.5627
IRONOS,2.1091
ITERAB,1.684
ITEREF,2.4175
IVOSAO,2.2392
IWORIX,2.1769
IWOWEX,2.5269
IXEPAE,2.5461
JAFVOB,3.6082
JAGGED,3.3998
JEJTUN,2.5553
JEPNUO,2.6902
JEQNOJ,2.8255
JIPDUI,3.6817
JITWOZ,2.4954
JIVFID,2.4819
JIVQEL,2.3326
JIWMIL,2.2571
JIWWUI,2.7197
JIYYIA,2.2558
JODWII,1.8767
JODWUU,2.6111
JONMEE,3.4441
JORKAC,3.5437
JUCJID,4.1466
JUHQIM,3.0862
JUQDAA,2.0925
KAGCIH,1.7586
KAGXID,1.5709
KAHDOP,3.4131
KAPJAO,3.7708
KAPPEW,1.9519
KAWCIU,1.4825
KAWKIE,2.3618
KEBXOG,2.4661
KEHJOY,2.9183
KEHREV,2.852
KIQGOG,3.019
KISKIH,3.4247
KISKON,3.4561
KITYOE,2.2338
KOBYIK,1.9446
KOCXEG,1.64
KOQBAT,3.9019
KUBHIZ,2.0099
KUGXOA,2.433
LALBUV,3.0966
LAMXAA,2.2487
LAXNON,3.7633
LAYNEF,3.0752
LEMVOQ,3.213
LEXQAG,3.8716
LEZQUC,3.9916
LIFVOM,2.0297
LILBOY,1.7258
LIYMAH,3.546
LODFAL,3.9857
LOXWUQ,1.9111
LOZWIJ,2.7331
LUCYOX,3.6153
LUHHAA,2.1551
LUHPIO,2.6753
LULDOM,2.9993
LUVYAD,3.9509
MAHNOZ,2.1886
MAJYOM,2.5932
MAKBUW,1.4363
MALNET,2.7235
MAMCOS,2.6374
MATFUL,1.5323
MAXZOC,1.8076
MAZOCT,2.7885
MCEACR,3.3478
MCENCR,3.1843
MECPCO,2.8384
MEDCEE,1.9065
MEHKOA,2.3634
MERECO,2.6966
MESROU,3.7982
MICHOV,2.8574
MIJSOP,1.5845
MIRVEP,3.5704
MNMTBH,1.6345
MOCMAT,2.6179
MOHFUM,2.2145
MOMCIB,1.8103
MONTIU,0.7006
MOPSUF,3.7452
MOZRIC,1.8825
MUFXIU,2.5746
MUGYIY,2.1964
MUKJOS,1.739
MUNLIQ,3.0663
MUQPOF,1.8145
MUXVEJ,1.7544
NABDID,2.2396
NAKHEN,3.8649
NANJUJ,2.2576
NAQQAY,1.7427
NCACON,2.3462
NEDGIM,2.0852
NEHWIH,3.1831
NEJBIN,1.5118
NELGOA,2.3331
NEYVUI,2.2876
NEYWOD,1.6251
NIDMOE,2.4064
NIHYIP,1.9186
NOBHET,3.7583
NOKSOX,1.4866
NOSHEI,2.6925
NOTPUK,4.1334
NOYJUG,2.2817
NUNTAR,4.3438
NUNWUP,1.678
NUPTAT,2.4868
NURPUN,3.2728
NUZSUX,1.8193
OBIMOC,2.8119
OBOFOC,4.0912
OCUJOL,1.4573
OFIXEI,2.8082
OLOZAR,2.4643
ONAPOL,1.4794
ONUQAR,2.271
OPAKUM,2.0994
ORESUC,3.0939
ORODOP,2.1116
OTOTEX,2.4838
PACHEI,3.206
PAHMUJ,2.7503
PAYHIG,3.0015
PIVHUZ,2.3602
PMCCOC,3.4806
PUJSOC,2.6265
PUTVAB,3.1815
PUVLAV,1.5718
PUXVOU,2.7555
QAFCEG,2.8117
QAFCOS,2.8098
QAFPAO,2.5593
QAHQAT,2.8146
QAZCIF,2.2463
QEHZIN,2.3987
QIGRON,3.1845
QIGSEE,4.1895
QIJTAE,2.0627
QIMXUI,2.3194
QIRWOF,2.2023
QIRWUL,2.1278
QIWKOX,3.4523
QIXDEI,1.493
QIXDIM,1.8873
QIZCAF,1.2144
QOCDUI01,1.5752
QOFDIZ,2.3015
QOFVOW,3.0381
QOLKIM,1.7734
QOPWOK,2.6777
QOXZAG,1.9647
RACNIV,2.9263
RALNUO,2.3571
RATDIZ,4.431
RATDOF,4.5552
RAVYIX,2.711
RAWRUF,1.0017
RAXMOT,2.6748
REGBUA,2.5487
REXCUS,0.2151
RIQQAJ,3.4985
RIRFAB,2.3614
RIRFIJ,2.3646
RITTAR,2.6605
RIXTIC,2.4661
RIZGUF,2.6605
ROCCOB,3.8625
ROFXAO,2.3641
RONREU,2.8952
ROYGUJ,2.126
RUMRAU,3.8163
RUWKEA,2.7314
RUWSAG,3.2677
RUWSOU,3.2099
SAGCAF,2.4459
SALDNI,2.7477
SASPAD,1.7281
SAYMIO,2.0527
SCYSCR,3.4177
SEBQAS,3.2479
