xyz,smiles_gdb9,smiles,A_GHz,B_GHz,C_GHz,mu_Debye,alpha_Bohr3,homo_Hartree,lumo_Hartree,gap_Hartree,r2_Bohr2,zpve_Hartree,U0_Hartree,U_Hartree,H_Hartree,G_Hartree,Cv_cal/mol/K
dsC7O2H10nsd/dsC7O2H10nsd_0001.xyz,CC(C)(O)C1=CC=CO1,CC(C)(O)c1ccco1,3.1580357,1.2436329,1.1060216,1.1312,77.92,-0.21236,0.02396,0.23632,1176.6995,0.155411,-422.593067,-422.583794,-422.58285,-422.62703,34.695
dsC7O2H10nsd/dsC7O2H10nsd_0002.xyz,CC(C)(O)C1=COC=C1,CC(C)(O)c1cocc1,3.1838909,1.173756,1.0523035,1.4619,76.64,-0.22287,0.01851,0.24138,1210.2333,0.155817,-422.59163,-422.582536,-422.581591,-422.625277,34.434
dsC7O2H10nsd/dsC7O2H10nsd_0003.xyz,CC(C)C1=C(O)C=CO1,CC(C)c1c(O)cco1,2.4840899,1.3116776,1.0558007,1.6033,78.88,-0.19589,0.0248,0.22069,1226.8961,0.155746,-422.585977,-422.576376,-422.575432,-422.620784,34.719
dsC7O2H10nsd/dsC7O2H10nsd_0004.xyz,CC(O)C1=C(C)C=CO1,C[C@H](O)c1c(C)cco1,2.4282482,1.5023706,0.9739403,1.165,78.88,-0.2137,0.01582,0.22952,1221.2049,0.156027,-422.588618,-422.579213,-422.578269,-422.62324,34.394
dsC7O2H10nsd/dsC7O2H10nsd_0005.xyz,CC(O)C1=C(C)OC=C1,C[C@H](O)c1c(C)occ1,2.5380186,1.4140995,0.9536975,1.0674,78.38,-0.21149,0.01679,0.22828,1237.6017,0.156107,-422.590889,-422.581568,-422.580624,-422.625196,34.327
dsC7O2H10nsd/dsC7O2H10nsd_0006.xyz,CC(C)C1=CC(O)=CO1,CC(C)c1cc(O)co1,4.0319511,0.9224262,0.8974237,1.9674,78.88,-0.19836,0.02641,0.22477,1389.1963,0.155838,-422.585648,-422.576153,-422.575209,-422.620152,34.72
dsC7O2H10nsd/dsC7O2H10nsd_0007.xyz,CC(O)C1=CC(C)=CO1,C[C@H](O)c1cc(C)co1,4.1381576,0.9181071,0.890079,1.6933,79.36,-0.21689,0.01767,0.23456,1410.1485,0.155825,-422.591051,-422.581494,-422.58055,-422.625815,34.524
dsC7O2H10nsd/dsC7O2H10nsd_0008.xyz,CC(O)C1=CC=C(C)O1,C[C@H](O)c1ccc(C)o1,3.1814682,1.0646905,0.9559594,1.8513,79.77,-0.21153,0.01646,0.22799,1327.4894,0.155718,-422.594906,-422.585354,-422.58441,-422.629688,34.488
dsC7O2H10nsd/dsC7O2H10nsd_0009.xyz,CC(O)C1=COC(C)=C1,C[C@H](O)c1coc(C)c1,3.6403997,0.9393014,0.8768375,1.8808,79.16,-0.21648,0.01663,0.23311,1411.4237,0.155594,-422.591501,-422.581834,-422.58089,-422.626479,34.665
dsC7O2H10nsd/dsC7O2H10nsd_0010.xyz,CC(O)C1=COC=C1C,C[C@@H](O)c1cocc1C,2.4490487,1.3356107,0.9812628,1.5814,77.41,-0.21916,0.02141,0.24057,1245.4641,0.156167,-422.588909,-422.579551,-422.578607,-422.623141,34.282
dsC7O2H10nsd/dsC7O2H10nsd_0011.xyz,CC(C)OC1=CC=CO1,CC(C)Oc1ccco1,4.1200426,0.9620429,0.9330492,1.2676,78.97,-0.20061,0.02969,0.2303,1335.087,0.155781,-422.578059,-422.568914,-422.56797,-422.613299,33.29
dsC7O2H10nsd/dsC7O2H10nsd_0012.xyz,CC(O)CC1=CC=CO1,C[C@H](O)Cc1ccco1,4.2859655,0.964075,0.8300358,1.9721,78.91,-0.22165,0.01179,0.23344,1400.0528,0.156973,-422.590913,-422.58205,-422.581106,-422.624982,32.987
dsC7O2H10nsd/dsC7O2H10nsd_0013.xyz,CC(C)OC1=COC=C1,CC(C)Oc1cocc1,4.2277609,0.9406156,0.8454208,1.1432,77.97,-0.20521,0.02535,0.23056,1407.8474,0.156174,-422.5711,-422.562123,-422.561179,-422.605088,33.258
dsC7O2H10nsd/dsC7O2H10nsd_0014.xyz,CC(O)CC1=COC=C1,C[C@H](O)Cc1cocc1,4.2641925,0.9095079,0.8175835,0.912,77.85,-0.22543,0.01157,0.237,1425.7898,0.15701,-422.587357,-422.578451,-422.577507,-422.62146,33.037
dsC7O2H10nsd/dsC7O2H10nsd_0015.xyz,CC1=C(C)C(O)=C(C)O1,Cc1c(C)c(O)c(C)o1,2.1959287,1.6012072,0.9422411,0.782,81.27,-0.18724,0.03381,0.22105,1260.8839,0.154367,-422.597094,-422.586735,-422.585791,-422.632442,36.194
dsC7O2H10nsd/dsC7O2H10nsd_0016.xyz,CC(CO)C1=CC=CO1,C[C@H](CO)c1ccco1,2.6168366,1.2161442,1.0463857,1.7207,77.95,-0.21281,0.02273,0.23554,1238.4575,0.156655,-422.584671,-422.575414,-422.57447,-422.619427,33.387
dsC7O2H10nsd/dsC7O2H10nsd_0017.xyz,CCC(O)C1=CC=CO1,CC[C@@H](O)c1ccco1,3.9468604,0.9274732,0.9222235,1.4967,78.38,-0.22233,0.01296,0.23529,1377.0783,0.15668,-422.586328,-422.577166,-422.576222,-422.620853,33.352
dsC7O2H10nsd/dsC7O2H10nsd_0018.xyz,COC(C)C1=CC=CO1,CO[C@@H](C)c1ccco1,3.7721566,1.0496352,0.8724348,0.9048,78.86,-0.21271,0.02254,0.23525,1352.8865,0.156049,-422.569078,-422.559821,-422.558877,-422.604005,33.043
dsC7O2H10nsd/dsC7O2H10nsd_0019.xyz,CC(CO)C1=COC=C1,C[C@H](CO)c1cocc1,2.618057,1.2001214,0.9800681,1.733,77.03,-0.2295,0.0115,0.241,1262.7114,0.157129,-422.584135,-422.575104,-422.57416,-422.61861,33.094
dsC7O2H10nsd/dsC7O2H10nsd_0020.xyz,CCC(O)C1=COC=C1,CC[C@@H](O)c1cocc1,3.9317213,0.9053996,0.8602249,1.7971,77.61,-0.21999,0.02181,0.2418,1416.9047,0.156697,-422.58251,-422.573374,-422.57243,-422.617053,33.34
dsC7O2H10nsd/dsC7O2H10nsd_0021.xyz,COC(C)C1=COC=C1,CO[C@@H](C)c1cocc1,3.7404996,0.9382252,0.9090222,1.3308,78.02,-0.22146,0.0214,0.24286,1376.5034,0.156096,-422.566624,-422.557365,-422.556421,-422.601709,33.026
dsC7O2H10nsd/dsC7O2H10nsd_0022.xyz,CC1=COC(CO)=C1C,Cc1coc(CO)c1C,2.8541059,1.2434947,0.9125814,1.529,79.54,-0.21108,0.01742,0.2285,1294.6487,0.155906,-422.588556,-422.578821,-422.577877,-422.623351,34.694
dsC7O2H10nsd/dsC7O2H10nsd_0023.xyz,CCC1=C(O)C(C)=CO1,CCc1c(O)c(C)co1,3.042786,1.1801622,0.9075671,1.0168,80.04,-0.1956,0.03024,0.22584,1329.3759,0.155585,-422.588546,-422.578757,-422.577812,-422.623551,34.986
dsC7O2H10nsd/dsC7O2H10nsd_0024.xyz,COC1=C(C)C(C)=CO1,COc1c(C)c(C)co1,3.0704478,1.2424418,0.9192058,0.937,80.08,-0.19229,0.03765,0.22994,1302.3162,0.155103,-422.57624,-422.566294,-422.565349,-422.611659,34.7
dsC7O2H10nsd/dsC7O2H10nsd_0025.xyz,CC1=CC(C)=C(CO)O1,Cc1cc(C)c(CO)o1,2.2738118,1.3207071,0.8905322,2.268,81.35,-0.20959,0.01447,0.22406,1339.7293,0.155595,-422.593209,-422.583373,-422.582429,-422.628315,34.796
dsC7O2H10nsd/dsC7O2H10nsd_0026.xyz,CCC1=C(O)C=C(C)O1,CCc1c(O)cc(C)o1,2.2283842,1.35983,0.8943413,0.8952,80.89,-0.19038,0.02804,0.21842,1337.3089,0.155489,-422.591489,-422.581761,-422.580817,-422.626308,34.957
dsC7O2H10nsd/dsC7O2H10nsd_0027.xyz,COC1=C(C)C=C(C)O1,COc1c(C)cc(C)o1,2.2624714,1.4377276,0.9155843,1.1564,81.4,-0.18941,0.03446,0.22387,1311.1305,0.155044,-422.578945,-422.569012,-422.568067,-422.614323,34.62
dsC7O2H10nsd/dsC7O2H10nsd_0028.xyz,CC1=CC(CO)=C(C)O1,Cc1cc(CO)c(C)o1,3.1422024,1.1243135,0.8653636,1.498,80.77,-0.20284,0.01895,0.22179,1356.6125,0.155828,-422.593233,-422.583534,-422.58259,-422.627938,34.656
dsC7O2H10nsd/dsC7O2H10nsd_0029.xyz,COC1=C(C)OC(C)=C1,COc1c(C)oc(C)c1,2.4079701,1.3397091,0.8749593,1.5069,82.01,-0.18416,0.02774,0.2119,1345.8874,0.154971,-422.575811,-422.56587,-422.564926,-422.611208,34.655
dsC7O2H10nsd/dsC7O2H10nsd_0030.xyz,CC1=C(CO)C(C)=CO1,Cc1c(CO)c(C)co1,2.0504318,1.6063124,0.9619549,1.0441,79.4,-0.21197,0.0219,0.23387,1242.3647,0.155953,-422.59183,-422.582122,-422.581177,-422.626452,34.696
dsC7O2H10nsd/dsC7O2H10nsd_0031.xyz,COC1=C(C)OC=C1C,COc1c(C)occ1C,1.9932759,1.7536601,0.9927957,1.2987,79.62,-0.20392,0.02775,0.23167,1222.8168,0.155052,-422.572063,-422.562143,-422.561199,-422.607192,34.625
dsC7O2H10nsd/dsC7O2H10nsd_0032.xyz,CCC1=C(CO)C=CO1,CCc1c(CO)cco1,1.8301952,1.6443466,0.9539187,1.0814,78.71,-0.21288,0.01426,0.22714,1263.9859,0.156932,-422.584553,-422.575243,-422.574299,-422.619358,33.491
dsC7O2H10nsd/dsC7O2H10nsd_0033.xyz,CCC1=C(CO)OC=C1,CCc1c(CO)occ1,1.7822029,1.6447636,0.9500517,1.306,78.79,-0.21603,0.01206,0.22809,1272.6329,0.156849,-422.583033,-422.573667,-422.572722,-422.618156,33.513
