refcode,gap
ACUQUN,0.08024
ADOXAT,0.12996
AFUPUO,0.08632
AHUYAF,0.09653
AJIYIC,0.09302
AJOXED,0.09837
AKIHOT,0.11387
ALANUX,0.0859
ALOJUI,0.06171
ANOREB,0.11535
APUYIV,0.11317
AQIYEF,0.16381
AQOYAI,0.07451
AQULON,0.07884
ASOZEP,0.1208
ATALAK,0.13091
AWOSOV,0.17408
AXESAY,0.12552
AYOGUR,0.10719
AZIFIA,0.10099
BACYUC,0.03991
BACZEN,0.03694
BARVEW,0.09977
BAWJUH,0.07809
BAWSID,0.09835
BAZBEL,0.05974
BAZYEG,0.0766
BEBZAL,0.06873
BECHOJ,0.04131
BEKZID,0.0976
BELVUM,0.07407
BELWEX,0.09143
BESGUC,0.07042
BESHAJ,0.08124
BEXKOG,0.07177
BIBYUJ,0.13749
BOFDOR,0.09734
BOFYIF,0.08233
BOHHOY,0.10316
BOKTAX,0.04805
BOSXOX,0.10714
BOVCOG,0.09212
BUJNIF,0.0775
BULJEY,0.05352
CADYIS,0.09831
CALTER,0.10321
CAPZAV,0.0996
CASNOC,0.09424
CATLOB,0.09005
CEFZUL,0.10299
CEKBUR,0.10216
CEMTIZ,0.10896
CEQFOW,0.10019
CEQZOP,0.12499
CICLEI,0.09954
CIGVIZ,0.08018
CIXSUA,0.09282
COGDOT,0.11525
COKGAN,0.10019
COKGER,0.11973
COMHUJ,0.06565
CUDQOJ,0.06686
CUJVOU,0.11823
CUPTUE,0.08642
DAGHUP,0.09523
DAQQET,0.10749
DAXDOX,0.10088
DAYHAM,0.10854
DECWOZ,0.0899
DEDGUR,0.1012
DICROZ,0.03773
DIDHUU,0.09993
DIDQAL,0.1125
DIFDII,0.13555
DIGVAS,0.10249
DIHZAX,0.10315
DIHZEB,0.10614
DIKKUE,0.05815
DOWCAT,0.08819
DOZFUV,0.12181
DUFFUH,0.14245
DUYZEE,0.09001
EBAHEX,0.12749
EBAHIB,0.13223
EBOLOY,0.17219
ECISEO,0.0565
EFESEQ,0.04456
EHAQIO,0.10525
EJAMIM,0.12876
EJAMUY,0.12584
ELODUG,0.07285
ELUNUV,0.06412
EMALAH,0.08969
ENOXAI,0.10162
ESIQON,0.09304
ESOMAB,0.0814
ESOMEF,0.06713
EVIMEC,0.10447
EWATAY,0.10462
EWATEC,0.10296
EWOKIM,0.09208
EYIXEQ,0.11118
FAMRET,0.10743
FAPCAC,0.09047
FATCEJ,0.07847
FEBRUZ,0.12769
FECTIT,0.06632
FEGVOD,0.06907
FEMWIE,0.09757
FERKOE,0.10062
FEYTEK,0.13034
FIBXOE,0.11681
FIFJUA,0.05685
FOCFOU,0.06632
FONLIF,0.07749
FOQGEX,0.09169
FOQGOH,0.11841
FORGOL,0.10493
FORGUR,0.10796
FOSWUG,0.09773
FUPQOW,0.13013
FUSTOE,0.08333
GANFEI,0.07765
GEBQEL,0.11017
GEFYEY,0.12555
GEJTUN,0.11971
GEVTAF,0.08168
GEYDOG,0.0711
GIDKIP,0.10007
GILWAA,0.11333
GINSED,0.09305
GOYCOM,0.11988
GOYDAZ,0.11813
HACDAS,0.0954
HAMCAZ,0.08942
HAMCON,0.08949
HAMDUU,0.08946
HAMGIL,0.08955
HAMJEK,0.08958
HAMJOU,0.00387
HATLAR,0.18189
HAVGUI,0.09024
HAVNUQ,0.1103
HAWTEG,0.07273
HAYYEL,0.08411
HELMAP,0.08159
HETCUE,0.09265
HEXNUV,0.10629
HIPXEK,0.09104
HIVPOS,0.08787
HIVZAQ,0.09414
HOJDOZ,0.08302
HONNAB,0.04547
HUPYOH,0.09301
HUTMEO,0.08431
ICUJEY,0.1054
IFIWOK,0.15016
IFIWUQ,0.15052
IFUJAW,0.10229
IGEZEB,0.12626
IHIREY,0.09254
